"N-gram","北齐书","北齐书翻译","Total"
"散骑侍郎彭贵","2","1","3"
"骑侍郎彭贵平","2","1","3"
"州征东府司马","2","1","3"
"迁尚书右仆射","3","0","3"
"陈将吴明彻寇","3","0","3"
"除通直散骑常","3","0","3"
"迁事黄门侍郎","3","0","3"
"干明元年二月","1","2","3"
"家员外散骑侍","3","0","3"
"迁通直散骑常","3","0","3"
"改威宗景烈皇","2","1","3"
"太尉记室参军","1","2","3"
"开府西合祭酒","1","2","3"
"司徒录事参军","2","1","3"
"录尚书赵彦深","2","1","3"
"赵州功曹参军","2","1","3"
"高祖拨乱反正","1","2","3"
"劾太师咸阳王","1","2","3"
"高祖帐内都督","1","2","3"
"年七月二十五","1","2","3"
"幽四州诸军事","2","1","3"
"追赠开府仪同","1","2","3"
"散骑常侍中书","3","0","3"
"听到这个消息","0","3","3"
"也没有什么遗","0","3","3"
"没有什么遗憾","0","3","3"
"有什么遗憾的","0","3","3"
"人们认为这是","0","3","3"
"不久因病去世","0","3","3"
"遣又是王的功","0","3","3"
"臣和皇亲国戚","0","3","3"
"心执政的方法","0","3","3"
"出了这样的话","0","3","3"
"久才苏醒过来","0","3","3"
"丞相高阿那肱","0","3","3"
"铙歌的军乐队","0","3","3"
"过了很长时间","0","3","3"
"共同执掌朝政","0","3","3"
"派遣使者请求","0","3","3"
"刺史可朱浑道","0","3","3"
"史可朱浑道元","0","3","3"
"山打败了周文","0","3","3"
"上表请求解除","0","3","3"
"对司马子如说","0","3","3"
"尚书令高隆之","0","3","3"
"萧绎派遣使者","0","3","3"
"绎派遣使者朝","0","3","3"
"于是到达晋阳","0","3","3"
"皇帝到达晋阳","0","3","3"
"等人率领军队","0","3","3"
"第二个儿子高","0","3","3"
"库莫奚派遣使","0","3","3"
"莫奚派遣使者","0","3","3"
"可朱浑道元为","0","3","3"
"彭城王高澈为","0","3","3"
"军队和国家的","0","3","3"
"继承宏大的基","0","3","3"
"承宏大的基业","0","3","3"
"在六十岁以上","0","3","3"
"河间王高孝琬","0","3","3"
"访问人民的疾","0","3","3"
"问人民的疾苦","0","3","3"
"的第六个儿子","0","3","3"
"阳王高淹为太","0","3","3"
"刑罚各有差别","0","3","3"
"不要仿效前人","0","3","3"
"进升爵位为王","0","3","3"
"任命尚书右仆","0","3","3"
"命尚书右仆射","0","3","3"
"武成帝从晋阳","0","3","3"
"任城王高浩为","0","3","3"
"书兼散骑常侍","0","3","3"
"东安王娄睿又","0","3","3"
"仆射赵彦深为","0","3","3"
"太上皇帝从晋","0","3","3"
"上皇帝从晋阳","0","3","3"
"侯莫陈相为太","0","3","3"
"陈人来朝聘问","0","3","3"
"驾从晋阳返回","0","3","3"
"以开府仪同三","0","3","3"
"死罪以下犯人","0","3","3"
"罪以下犯人徒","0","3","3"
"以下犯人徒刑","0","3","3"
"宁王孝珩为司","0","3","3"
"是魏孝静帝的","0","3","3"
"出任青州刺史","0","3","3"
"逐渐升迁到尚","0","3","3"
"渐升迁到尚书","0","3","3"
"的第七个儿子","0","3","3"
"官吏百姓所怀","0","3","3"
"吏百姓所怀念","0","3","3"
"率领自己的部","0","3","3"
"高祖在信都起","0","3","3"
"任领军大将军","0","3","3"
"投奔了尔朱荣","0","3","3"
"喜怒不形于色","0","3","3"
"是广宁郡石门","0","3","3"
"从高祖在邙山","0","3","3"
"受到了时论的","0","3","3"
"构成犄角之势","0","3","3"
"请求解除自己","0","3","3"
"拜开府仪同三","0","3","3"
"尔朱荣进入洛","0","3","3"
"行冀州刺史事","0","3","3"
"从高祖在韩陵","0","3","3"
"高祖在韩陵打","0","3","3"
"为大行台郎中","0","3","3"
"为金紫光禄大","0","3","3"
"任命为大行台","0","3","3"
"拜任晋州刺史","0","3","3"
"任骠骑大将军","0","3","3"
"升任员外散骑","0","3","3"
"擅长骑马射箭","0","3","3"
"隋开皇中卒于","0","3","3"
"时年六十一岁","0","3","3"
"兼任给事黄门","0","3","3"
"改任都官尚书","0","3","3"
"不久以本官兼","0","3","3"
"兼任通直散骑","0","3","3"
"不久加授开府","0","3","3"
"元颢进入洛阳","0","3","3"
"为开府行参军","0","3","3"
"州刺史任上去","0","3","3"
"刺史任上去世","0","3","3"
"为假仪同三司","0","3","3"
"授任右光禄大","0","3","3"
"任右光禄大夫","0","3","3"
"任南青州刺史","0","3","3"
"条例降低爵位","0","3","3"
"书令司马子如","0","3","3"
"对左右的人说","0","3","3"
"追赠仪同三司","0","3","3"
"任银青光禄大","0","3","3"
"其他官职依旧","0","3","3"
"加授骠骑大将","0","3","3"
"嫡子的同母弟","0","3","3"
"子的同母弟弟","0","3","3"
"都能通晓大义","0","3","3"
"出任兖州刺史","0","3","3"
"任殿中侍御史","0","3","3"
"清河王高岳为","0","3","3"
"散骑常侍兼中","0","3","3"
"骑常侍兼中书","0","3","3"
"冀州行事司马","1","1","2"
"州行事司马子","1","1","2"
"封公积德履仁","1","1","2"
"赵郡李同轨继","1","1","2"
"经入授皇太子","2","0","2"
"士开兖州刺史","2","0","2"
"齐高祖神武皇","1","1","2"
"高祖神武皇帝","1","1","2"
"中山人贾显智","1","1","2"
"柔玄镇人杜洛","1","1","2"
"玄镇人杜洛周","1","1","2"
"扬州邑人庞苍","1","1","2"
"州邑人庞苍鹰","1","1","2"
"第三镇人酋长","1","1","2"
"头纥豆陵步藩","1","1","2"
"长史慕容绍宗","1","1","2"
"魏普泰元年二","1","1","2"
"普泰元年二月","1","1","2"
"朱度律废元晔","1","1","2"
"度律废元晔立","1","1","2"
"律废元晔立节","1","1","2"
"废元晔立节闵","1","1","2"
"子渤海太守朗","1","1","2"
"永熙元年正月","1","1","2"
"大都督崔灵珍","1","1","2"
"普泰元年十月","1","1","2"
"遣都督贾显智","1","1","2"
"贾显智等事朱","2","0","2"
"朱仲远部下都","1","1","2"
"仲远部下都督","1","1","2"
"远部下都督桥","1","1","2"
"部下都督桥宁","1","1","2"
"武卫将军元毗","1","1","2"
"时司空高乾密","1","1","2"
"遣东徐州刺史","1","1","2"
"东徐州刺史潘","1","1","2"
"徐州刺史潘绍","1","1","2"
"州刺史潘绍业","1","1","2"
"刺史潘绍业密","1","1","2"
"长乐太守庞苍","1","1","2"
"乐太守庞苍鹰","1","1","2"
"授神武大行台","1","1","2"
"取万俟受洛干","1","1","2"
"费头虏纥豆陵","2","0","2"
"头虏纥豆陵伊","2","0","2"
"虏纥豆陵伊利","2","0","2"
"天平元年正月","1","1","2"
"光禄少卿元子","1","1","2"
"禄少卿元子干","1","1","2"
"建州刺史韩贤","1","1","2"
"御史中尉綦俊","1","1","2"
"恒州刺史厍狄","1","1","2"
"州刺史厍狄干","1","1","2"
"瀛州刺史郭琼","1","1","2"
"汾州刺史斛律","1","1","2"
"州刺史斛律金","1","1","2"
"前武卫将军彭","1","1","2"
"武卫将军彭乐","1","1","2"
"冀州刺史尉景","1","1","2"
"冀州刺史高敖","1","1","2"
"州刺史高敖曹","1","1","2"
"高祖定鼎河洛","1","1","2"
"遣大行台长孙","1","1","2"
"大行台长孙承","1","1","2"
"行台长孙承业","1","1","2"
"大都督颍川王","1","1","2"
"都督颍川王斌","1","1","2"
"行台长孙子彦","1","1","2"
"前恒农太守元","1","1","2"
"恒农太守元洪","1","1","2"
"农太守元洪略","1","1","2"
"太守元洪略镇","1","1","2"
"守元洪略镇陕","1","1","2"
"州刺史斛斯元","1","1","2"
"刺史斛斯元寿","1","1","2"
"左厢大都督莫","1","1","2"
"厢大都督莫多","1","1","2"
"大都督莫多娄","1","1","2"
"都督莫多娄贷","1","1","2"
"督莫多娄贷文","1","1","2"
"府仪同三司叱","1","1","2"
"仪同三司叱列","1","1","2"
"同三司叱列延","1","1","2"
"三司叱列延庆","1","1","2"
"尚书左仆射辛","1","1","2"
"书左仆射辛雄","1","1","2"
"吏部尚书崔孝","1","1","2"
"部尚书崔孝芬","1","1","2"
"度支尚书杨机","1","1","2"
"散骑常侍元士","1","1","2"
"骑常侍元士弼","1","1","2"
"清河王亶大司","2","0","2"
"河王亶大司马","2","0","2"
"龙门都督薛崇","1","1","2"
"门都督薛崇礼","1","1","2"
"行台尚书长史","1","1","2"
"台尚书长史薛","1","1","2"
"尚书长史薛瑜","1","1","2"
"书长史薛瑜守","1","1","2"
"长史薛瑜守潼","1","1","2"
"史薛瑜守潼关","1","1","2"
"西魏渭州刺史","1","1","2"
"州刺史朱浑道","2","0","2"
"留都督张琼镇","1","1","2"
"都督张琼镇守","1","1","2"
"西魏灵州刺史","1","1","2"
"魏灵州刺史曹","1","1","2"
"灵州刺史曹泥","1","1","2"
"婿凉州刺史刘","1","1","2"
"凉州刺史刘丰","1","1","2"
"逼西魏秦州刺","1","1","2"
"西魏秦州刺史","1","1","2"
"魏秦州刺史建","1","1","2"
"秦州刺史建忠","1","1","2"
"州刺史建忠王","1","1","2"
"刺史建忠王万","1","1","2"
"史建忠王万俟","1","1","2"
"建忠王万俟普","1","1","2"
"忠王万俟普拨","1","1","2"
"子太宰受洛干","1","1","2"
"豳州刺史叱干","1","1","2"
"州刺史叱干宝","1","1","2"
"刺史叱干宝乐","1","1","2"
"右卫将军破六","1","1","2"
"卫将军破六韩","1","1","2"
"将军破六韩常","1","1","2"
"仆射行台汝阳","1","1","2"
"射行台汝阳王","1","1","2"
"行台汝阳王暹","1","1","2"
"文曰六王三川","2","0","2"
"元象元年三月","1","1","2"
"西魏将独孤信","2","0","2"
"大都督厍狄干","1","1","2"
"都督长孙子彦","1","1","2"
"武定元年二月","1","1","2"
"豫州刺史高慎","1","1","2"
"亲信都督尉兴","1","1","2"
"信都督尉兴庆","1","1","2"
"西魏太师贺拔","1","1","2"
"魏太师贺拔胜","1","1","2"
"肆州北山筑城","1","1","2"
"开府司马任胄","1","1","2"
"中府主簿李世","1","1","2"
"府主簿李世林","1","1","2"
"前开府参军房","1","1","2"
"开府参军房子","1","1","2"
"府参军房子远","1","1","2"
"参军房子远等","1","1","2"
"定三州北接奚","1","1","2"
"殿中将军曹魏","1","1","2"
"中将军曹魏祖","1","1","2"
"西魏晋州刺史","1","1","2"
"魏晋州刺史韦","1","1","2"
"晋州刺史韦孝","1","1","2"
"州刺史韦孝宽","1","1","2"
"刺史韦孝宽守","1","1","2"
"史韦孝宽守玉","1","1","2"
"韦孝宽守玉壁","1","1","2"
"景专制河南十","1","1","2"
"专制河南十四","1","1","2"
"制河南十四年","1","1","2"
"汉大将军霍光","1","1","2"
"崔暹御史中尉","2","0","2"
"武定四年十一","1","1","2"
"定四年十一月","1","1","2"
"颍州刺史司马","1","1","2"
"魏帝诏太原公","1","1","2"
"帝诏太原公洋","1","1","2"
"诏太原公洋摄","1","1","2"
"太原公洋摄理","1","1","2"
"原公洋摄理军","1","1","2"
"公洋摄理军国","1","1","2"
"将蔡遵道北归","1","1","2"
"百尺高竿摧折","1","1","2"
"水底燃灯灯灭","1","1","2"
"北宫门外诸贵","1","1","2"
"苍头薛丰洛杖","1","1","2"
"武定七年八月","1","1","2"
"吐谷浑国遣使","2","0","2"
"谷浑国遣使朝","2","0","2"
"浑国遣使朝贡","2","0","2"
"齐州刺史茅灵","1","1","2"
"州刺史茅灵斌","1","1","2"
"南豫州刺史皇","1","1","2"
"豫州刺史皇甫","1","1","2"
"八年春正月庚","1","1","2"
"楚州刺史宋安","1","1","2"
"州刺史宋安顾","1","1","2"
"定州刺史田聪","1","1","2"
"州刺史田聪能","1","1","2"
"冀州渤海长乐","2","0","2"
"州渤海长乐安","2","0","2"
"河间高阳章武","1","1","2"
"太尉彭城王韶","2","0","2"
"司空敬显俊奉","2","0","2"
"高丽遣使朝贡","2","0","2"
"故大司马娄昭","1","1","2"
"故尚书左仆射","1","1","2"
"尚书左仆射慕","1","1","2"
"书左仆射慕容","1","1","2"
"左仆射慕容绍","1","1","2"
"仆射慕容绍宗","1","1","2"
"故定州刺史段","1","1","2"
"定州刺史段荣","1","1","2"
"故御史中尉刘","1","1","2"
"故殷州刺史刘","1","1","2"
"殷州刺史刘丰","1","1","2"
"故济州刺史蔡","1","1","2"
"州刺史蔡俊等","1","1","2"
"府仪同三司司","1","1","2"
"仪同三司司马","1","1","2"
"同三司司马子","1","1","2"
"辽东郡开国公","1","1","2"
"茹茹国遣使朝","2","0","2"
"茹国遣使朝贡","2","0","2"
"梁湘东王萧绎","2","0","2"
"湘东王萧绎遣","2","0","2"
"东王萧绎遣使","2","0","2"
"年春正月丁未","1","1","2"
"太尉彭乐谋反","1","1","2"
"茹茹遣使朝贡","2","0","2"
"行台郎邢景远","1","1","2"
"三年春正月丙","1","1","2"
"年春正月丙申","1","1","2"
"获杂畜十余万","2","0","2"
"弟登注俟利发","1","1","2"
"社干戍四百余","1","1","2"
"干戍四百余里","1","1","2"
"大人阿富提等","1","1","2"
"司徒潘相乐率","1","1","2"
"安德王韩轨率","1","1","2"
"五年春正月癸","1","1","2"
"年春正月癸巳","1","1","2"
"获庵罗辰妻子","1","1","2"
"等国遣使朝贡","2","0","2"
"平原王段韶等","2","0","2"
"原王段韶等率","2","0","2"
"王段韶等率众","2","0","2"
"散骑常侍杨裕","1","1","2"
"俟利蔼焉力娄","1","1","2"
"利蔼焉力娄阿","1","1","2"
"蔼焉力娄阿帝","1","1","2"
"牛羊数十万头","1","1","2"
"茹茹俟利郁久","1","1","2"
"茹俟利郁久闾","1","1","2"
"俟利郁久闾李","1","1","2"
"利郁久闾李家","1","1","2"
"郁久闾李家提","1","1","2"
"遣都督柳达摩","1","1","2"
"都督柳达摩等","1","1","2"
"东南道行台赵","1","1","2"
"南道行台赵彦","1","1","2"
"道行台赵彦深","1","1","2"
"行台赵彦深获","1","1","2"
"夫一百八十万","1","1","2"
"一百八十万人","1","1","2"
"七年春正月甲","1","1","2"
"年春正月甲辰","1","1","2"
"大都督萧轨等","1","1","2"
"发山东寡妇二","1","1","2"
"山东寡妇二千","1","1","2"
"东寡妇二千六","1","1","2"
"寡妇二千六百","1","1","2"
"妇二千六百人","1","1","2"
"二千六百人配","1","1","2"
"二镇二十六戍","1","1","2"
"西魏相宇文觉","1","1","2"
"冢宰宇文护杀","1","1","2"
"九年春二月丁","1","1","2"
"年春二月丁亥","1","1","2"
"北豫州刺史司","1","1","2"
"豫州刺史司马","1","1","2"
"州刺史司马消","1","1","2"
"刺史司马消难","1","1","2"
"前尚书左仆射","1","1","2"
"尚书左仆射杨","1","1","2"
"仆射杨愔尚书","2","0","2"
"老人刘奴等九","1","1","2"
"人刘奴等九百","1","1","2"
"刘奴等九百四","1","1","2"
"奴等九百四十","1","1","2"
"等九百四十三","1","1","2"
"九百四十三人","1","1","2"
"江州刺史沈泰","1","1","2"
"梁湘州刺史王","2","0","2"
"十年春正月戊","1","1","2"
"年春正月戊戌","1","1","2"
"司空侯莫陈相","1","1","2"
"高阳王湜尚书","2","0","2"
"东平公元景式","1","1","2"
"平公元景式等","1","1","2"
"公元景式等二","1","1","2"
"元景式等二十","1","1","2"
"特进元韶等十","1","1","2"
"进元韶等十九","1","1","2"
"元韶等十九家","1","1","2"
"晋阳宫德阳堂","1","1","2"
"明元年二月丙","1","1","2"
"元年二月丙申","1","1","2"
"刺都督尉子耀","1","1","2"
"三台大光殿上","1","1","2"
"国子博士李宝","1","1","2"
"子博士李宝鼎","1","1","2"
"国子助教许散","1","1","2"
"子助教许散愁","1","1","2"
"帝位晋阳宣德","2","0","2"
"位晋阳宣德殿","2","0","2"
"内外百官普加","2","0","2"
"外百官普加泛","2","0","2"
"百官普加泛级","2","0","2"
"长广王湛大司","2","0","2"
"广王湛大司马","2","0","2"
"平秦王归彦司","2","0","2"
"大丞相常山王","1","1","2"
"皇建二年九月","1","1","2"
"武明皇太后早","1","1","2"
"遣中书侍郎李","1","1","2"
"中书侍郎李同","1","1","2"
"书侍郎李同轨","1","1","2"
"开府长流参军","1","1","2"
"府长流参军刁","1","1","2"
"长流参军刁柔","1","1","2"
"流参军刁柔代","1","1","2"
"侍中宋钦道等","1","1","2"
"武卫娥永乐武","1","1","2"
"卫娥永乐武力","1","1","2"
"皇建元年八月","1","1","2"
"建元年八月壬","1","1","2"
"元年八月壬午","1","1","2"
"皇太后称文宣","1","1","2"
"太后称文宣皇","1","1","2"
"后称文宣皇后","1","1","2"
"奏太祖献武皇","1","1","2"
"祖献武皇帝庙","1","1","2"
"故司徒莫多娄","1","1","2"
"司徒莫多娄贷","1","1","2"
"徒莫多娄贷文","1","1","2"
"故太师清河王","1","1","2"
"故太宰安德王","1","1","2"
"扶风王朱浑道","2","0","2"
"风王朱浑道元","2","0","2"
"故太师万俟受","1","1","2"
"太师万俟受洛","1","1","2"
"师万俟受洛干","1","1","2"
"故太尉慕容绍","1","1","2"
"太尉慕容绍宗","1","1","2"
"尉慕容绍宗七","1","1","2"
"慕容绍宗七人","1","1","2"
"配飨世宗庙庭","2","0","2"
"故太尉河东王","1","1","2"
"故太傅破六韩","1","1","2"
"太傅破六韩常","1","1","2"
"傅破六韩常三","1","1","2"
"破六韩常三人","1","1","2"
"二年春正月辛","1","1","2"
"大宁元年闰十","1","1","2"
"宁元年闰十二","1","1","2"
"元年闰十二月","1","1","2"
"年闰十二月癸","1","1","2"
"闰十二月癸卯","1","1","2"
