"N-gram","新唐书","新唐书翻译","Total"
"林卫大将军李多祚","2","2","4"
"臣上尊号曰开元天","4","0","4"
"宝圣文神武应道皇","2","2","4"
"圣文神武应道皇帝","2","2","4"
"益州道行台左仆射","2","2","4"
"东道大行台尚书令","2","2","4"
"交河道行军大总管","2","2","4"
"青丘道行军大总管","2","2","4"
"骁卫大将军契苾何","4","0","4"
"逻娑道行军大总管","2","2","4"
"右武卫将军程务挺","2","2","4"
"燕然道行军大总管","2","2","4"
"越古金轮圣神皇帝","2","2","4"
"肃政台御史大夫杨","2","2","4"
"右肃政台御史中丞","2","2","4"
"河北道行军副元帅","2","2","4"
"持节朔方军节度大","2","2","4"
"节朔方军节度大使","2","2","4"
"陇右节度使皇甫惟","2","2","4"
"右节度使皇甫惟明","2","2","4"
"陇右节度使哥舒翰","2","2","4"
"开元天地大宝圣文","2","2","4"
"元天地大宝圣文神","2","2","4"
"天地大宝圣文神武","2","2","4"
"乾元大圣光天文武","2","2","4"
"元大圣光天文武孝","2","2","4"
"大圣光天文武孝感","2","2","4"
"成德军节度使李宝","2","2","4"
"德军节度使李宝臣","2","2","4"
"诸军行营兵马副元","2","2","4"
"军行营兵马副元帅","2","2","4"
"剑南西川节度使韦","2","2","4"
"南西川节度使韦皋","2","2","4"
"卢龙军节度使刘济","2","2","4"
"义军节度使吴少诚","2","2","4"
"官子父后者勋两转","4","0","4"
"忠武军节度使李光","2","2","4"
"武军节度使李光颜","2","2","4"
"横海军节度使乌重","2","2","4"
"海军节度使乌重胤","2","2","4"
"昭义军节度使刘悟","2","2","4"
"山南西道节度使李","2","2","4"
"成德军节度使王元","2","2","4"
"德军节度使王元逵","2","2","4"
"策军护军中尉马元","2","2","4"
"军护军中尉马元贽","2","2","4"
"护军中尉马元贽立","2","2","4"
"军中尉马元贽立光","2","2","4"
"中尉马元贽立光王","2","2","4"
"卢龙军节度使李匡","2","2","4"
"剑南东川节度使顾","2","2","4"
"南东川节度使顾彦","2","2","4"
"义昌军节度使卢彦","2","2","4"
"昌军节度使卢彦威","2","2","4"
"镇国军节度使韩建","2","2","4"
"保大军节度使李茂","2","2","4"
"大军节度使李茂勋","2","2","4"
"平卢军节度使王师","2","2","4"
"卢军节度使王师范","2","2","4"
"高祖讯察囚犯的断","0","4","4"
"祖讯察囚犯的断狱","0","4","4"
"讯察囚犯的断狱记","0","4","4"
"察囚犯的断狱记录","0","4","4"
"这是逐渐不能持之","0","4","4"
"是逐渐不能持之以","0","4","4"
"逐渐不能持之以恒","0","4","4"
"渐不能持之以恒的","0","4","4"
"不能持之以恒的第","0","4","4"
"任同中书门下三品","0","4","4"
"群臣给玄宗敬献尊","0","4","4"
"臣给玄宗敬献尊号","0","4","4"
"给玄宗敬献尊号为","0","4","4"
"玄宗敬献尊号为开","0","4","4"
"宗敬献尊号为开元","0","4","4"
"百姓中八十岁以上","0","4","4"
"骁卫大将军契絆何","0","4","4"
"对死罪以下的犯人","0","4","4"
"宗自东都返回京城","0","4","4"
"宗自温泉返回京城","0","4","4"
"予宫廷内外官员官","0","4","4"
"宫廷内外官员官阶","0","4","4"
"五品以上官员勋官","0","4","4"
"放罪以下的犯人免","0","4","4"
"罪以下的犯人免刑","0","4","4"
"宗在鱼藻宫观看舟","0","4","4"
"在鱼藻宫观看舟船","0","4","4"
"鱼藻宫观看舟船竞","0","4","4"
"藻宫观看舟船竞渡","0","4","4"
"放掉五坊豢养的鹰","0","4","4"
"史宪诚在平原与李","0","4","4"
"宪诚在平原与李同","0","4","4"
"诚在平原与李同捷","0","4","4"
"在平原与李同捷作","0","4","4"
"平原与李同捷作战","0","4","4"
"二人并任同中书门","0","4","4"
"人并任同中书门下","0","4","4"
"州反叛依附朱全忠","0","4","4"
"这是不可再留于此","0","4","4"
"是不可再留于此的","0","4","4"
"不可再留于此的理","0","4","4"
"可再留于此的理由","0","4","4"
"再留于此的理由之","0","4","4"
"山南西道节度使严","1","2","3"
"神尧大圣大光孝皇","2","1","3"
"尧大圣大光孝皇帝","2","1","3"
"文武大圣大广孝皇","2","1","3"
"武大圣大广孝皇帝","2","1","3"
"玄真大圣大兴孝皇","2","1","3"
"真大圣大兴孝皇帝","2","1","3"
"开元天宝圣文神武","2","1","3"
"德弘道大圣大安孝","2","1","3"
"弘道大圣大安孝皇","2","1","3"
"道大圣大安孝皇帝","2","1","3"
"德大圣大安孝皇帝","2","1","3"
"明成武献文睿智章","2","1","3"
"成武献文睿智章仁","2","1","3"
"武献文睿智章仁神","2","1","3"
"献文睿智章仁神聪","2","1","3"
"文睿智章仁神聪懿","2","1","3"
"睿智章仁神聪懿道","2","1","3"
"智章仁神聪懿道大","2","1","3"
"章仁神聪懿道大孝","2","1","3"
"仁神聪懿道大孝皇","2","1","3"
"神聪懿道大孝皇帝","2","1","3"
"赐五品上子父后者","3","0","3"
"品上子父后者勋一","3","0","3"
"上子父后者勋一转","3","0","3"
"神兵道行军大总管","1","2","3"
"同华节度使周智光","1","2","3"
"赐文武官子父后者","3","0","3"
"文武官子父后者勋","3","0","3"
"武官子父后者勋两","3","0","3"
"史宪诚李同捷战平","3","0","3"
"宪诚李同捷战平原","3","0","3"
"神策军护军中尉马","1","2","3"
"陕东道行台左仆射","2","1","3"
"幽州都督屈突仲翔","2","1","3"
"太子左庶子分司东","2","1","3"
"子左庶子分司东都","2","1","3"
"官同中书门下平章","1","2","3"
"太宗讯察记录囚犯","0","3","3"
"宗讯察记录囚犯的","0","3","3"
"五车五星之间出现","0","3","3"
"武后因旱灾讯察记","0","3","3"
"后因旱灾讯察记录","0","3","3"
"处以拘禁劳役的犯","0","3","3"
"以拘禁劳役的犯人","0","3","3"
"旅行所需之物的各","0","3","3"
"这是逐渐不能坚持","0","3","3"
"是逐渐不能坚持到","0","3","3"
"逐渐不能坚持到底","0","3","3"
"渐不能坚持到底的","0","3","3"
"不能坚持到底的第","0","3","3"
"为同中书门下三品","0","3","3"
"为同中书门下平章","0","3","3"
"一并任同中书门下","0","3","3"
"敬献尊号为开元天","0","3","3"
"二年正月二十三日","0","3","3"
"姓中八十岁以上的","0","3","3"
"太宗因旱灾避离正","0","3","3"
"任定襄道行军大总","0","3","3"
"八十岁以上老人粮","0","3","3"
"十岁以上老人粮食","0","3","3"
"八年正月二十八日","0","3","3"
"死罪以下的罪犯减","0","3","3"
"罪以下的罪犯减刑","0","3","3"
"赐给高龄老人粮食","0","3","3"
"给高龄老人粮食布","0","3","3"
"高龄老人粮食布帛","0","3","3"
"诏令五品以上官员","0","3","3"
"任平壤道行军大总","0","3","3"
"任辽东道行军大总","0","3","3"
"高龄鳏寡老人粮食","0","3","3"
"对死罪以下的囚犯","0","3","3"
"死罪以下的囚犯减","0","3","3"
"罪以下的囚犯减刑","0","3","3"
"八十岁以上的平民","0","3","3"
"流放以下的罪犯免","0","3","3"
"放以下的罪犯免刑","0","3","3"
"使臣讯察记录囚犯","0","3","3"
"臣讯察记录囚犯的","0","3","3"
"死罪以下犯人减刑","0","3","3"
"杀了被废为平民的","0","3","3"
"皇太子李弘代理国","0","3","3"
"太子李弘代理国政","0","3","3"
"平民中八十岁以上","0","3","3"
"后武氏举行躬践蚕","0","3","3"
"武氏举行躬践蚕事","0","3","3"
"高宗自九成宫返回","0","3","3"
"宗自九成宫返回京","0","3","3"
"自九成宫返回京城","0","3","3"
"皇太子李哲代理国","0","3","3"
"太子李哲代理国政","0","3","3"
"任单于道安抚大使","0","3","3"
"起兵讨伐武氏之乱","0","3","3"
"任河北道行军元帅","0","3","3"
"李峤加同凤阁鸾台","0","3","3"
"任灵武道行军大总","0","3","3"
"玄宗自温泉返回京","0","3","3"
"岁以上的贤德老人","0","3","3"
"妇人授予县君荣衔","0","3","3"
"十岁以上老人授予","0","3","3"
"拘禁劳役的犯人免","0","3","3"
"禁劳役的犯人免刑","0","3","3"
"品以上官员勋官在","0","3","3"
"以上官员勋官在其","0","3","3"
"上官员勋官在其父","0","3","3"
"官员勋官在其父之","0","3","3"
"员勋官在其父之下","0","3","3"
"勋官在其父之下者","0","3","3"
"郭子仪与安庆绪在","0","3","3"
"判流放罪以下刑罚","0","3","3"
"流放罪以下刑罚的","0","3","3"
"放罪以下刑罚的犯","0","3","3"
"罪以下刑罚的犯人","0","3","3"
"以下刑罚的犯人免","0","3","3"
"下刑罚的犯人免刑","0","3","3"
"敬宗在鱼藻宫观看","0","3","3"
"掉五坊豢养的鹰犬","0","3","3"
"右骁卫将军李金才","1","1","2"
"天策府司马宇文士","1","1","2"
"黄门侍郎褚遂良参","1","1","2"
"太子少詹事张行成","1","1","2"
"昆陵都护阿史弥射","2","0","2"
"左金吾卫将军庞同","1","1","2"
"金吾卫将军庞同善","1","1","2"
"左武卫将军薛仁贵","1","1","2"
"左监门卫将军李谨","1","1","2"
"监门卫将军李谨行","1","1","2"
"太子左庶子张大安","1","1","2"
"左武卫将军黑齿常","1","1","2"
"肃政台御史大夫骞","2","0","2"
"政台御史大夫骞味","2","0","2"
"台御史大夫骞味道","2","0","2"
"右肃政台御史大夫","1","1","2"
"肃政台御史大夫韦","1","1","2"
"政台御史大夫韦思","1","1","2"
"台御史大夫韦思谦","1","1","2"
"杀右武威卫大将军","1","1","2"
"右武威卫大将军黑","1","1","2"
"武威卫大将军黑齿","1","1","2"
"威卫大将军黑齿常","1","1","2"
"右鹰扬卫将军赵怀","1","1","2"
"鹰扬卫将军赵怀节","1","1","2"
"嗣同凤阁鸾台三品","2","0","2"
"杀左卫员外大将军","1","1","2"
"左卫员外大将军阿","1","1","2"
"卫员外大将军阿史","1","1","2"
"白润府果毅薛大信","1","1","2"
"天册金轮大圣皇帝","1","1","2"
"洛州录事参军綦连","1","1","2"
"州录事参军綦连耀","1","1","2"
"知天官侍郎事石抱","1","1","2"
"天官侍郎事石抱忠","1","1","2"
"太子司议郎路敬淳","1","1","2"
"右司员外郎宇文全","1","1","2"
"杀监察御史李昭德","1","1","2"
"太子宫尹豆卢钦望","1","1","2"
"李迥秀同凤阁鸾台","2","0","2"
"陆象先同中书门下","2","0","2"
"朔方道后军大总管","1","1","2"
"公主府典签王师虔","1","1","2"
"押万骑果毅葛福顺","1","1","2"
"州刺史姚元兵部尚","2","0","2"
"刺史姚元兵部尚书","2","0","2"
"方军节度副大使牛","1","1","2"
"军节度副大使牛仙","1","1","2"
"节度副大使牛仙客","1","1","2"
"晋陵郡太守刘同升","1","1","2"
"南海郡太守刘巨鳞","1","1","2"
"海郡太守刘巨鳞讨","1","1","2"
"左骁卫兵曹参军柳","1","1","2"
"左司御率府仓曹参","1","1","2"
"司御率府仓曹参军","1","1","2"
"御率府仓曹参军王","1","1","2"
"杀咸宁郡太守赵奉","1","1","2"
"咸宁郡太守赵奉璋","1","1","2"
"河西节度使哥舒翰","1","1","2"
"九原郡太守郭子仪","1","1","2"
"右金吾大将军程千","1","1","2"
"金吾大将军程千里","1","1","2"
"处置太子先锋兵马","1","1","2"
"置太子先锋兵马副","1","1","2"
"太子先锋兵马副元","1","1","2"
"子先锋兵马副元帅","1","1","2"
"兴平军节度使李奂","1","1","2"
"滑濮节度使许叔冀","1","1","2"
"郑蔡节度使季广琛","1","1","2"
"南山五谷人高玉反","1","1","2"
"汴宋都虞候李灵耀","1","1","2"
"宋都虞候李灵耀反","1","1","2"
"魏博节度使田悦反","1","1","2"
"昭义军节度使李抱","1","1","2"
"义军节度使李抱真","1","1","2"
"山南东道节度使梁","1","1","2"
"南东道节度使梁崇","1","1","2"
"东道节度使梁崇义","1","1","2"
"道节度使梁崇义反","1","1","2"
"检校尚书右仆射侯","1","1","2"
"校尚书右仆射侯希","1","1","2"
"尚书右仆射侯希逸","1","1","2"
"前永平军节度使张","1","1","2"
"永平军节度使张镒","1","1","2"
"东川节度使王叔邕","1","1","2"
"山南东道节度使贾","1","1","2"
"南东道节度使贾耽","1","1","2"
"恒冀观察使王武俊","1","1","2"
"冀观察使王武俊反","1","1","2"
"李怀光杀左厢兵马","1","1","2"
"怀光杀左厢兵马使","1","1","2"
"光杀左厢兵马使张","1","1","2"
"杀左厢兵马使张名","1","1","2"
"左厢兵马使张名振","1","1","2"
"右武锋兵马使石演","1","1","2"
"武锋兵马使石演芬","1","1","2"
"李怀光杀步军兵马","1","1","2"
"怀光杀步军兵马使","1","1","2"
"光杀步军兵马使田","1","1","2"
"杀步军兵马使田仙","1","1","2"
"步军兵马使田仙浩","1","1","2"
"淮西兵马使吴少诚","1","1","2"
"西兵马使吴少诚杀","1","1","2"
"横海军兵马使程怀","1","1","2"
"海军兵马使程怀信","1","1","2"
"左神策行营节度使","1","1","2"
"左右神策京西行营","1","1","2"
"右神策京西行营兵","1","1","2"
"神策京西行营兵马","1","1","2"
"策京西行营兵马使","1","1","2"
"京西行营兵马使李","1","1","2"
"西行营兵马使李元","1","1","2"
"行营兵马使李元奕","1","1","2"
"南西道节度使严砺","1","1","2"
"剑南东川节度使李","1","1","2"
"南东川节度使李康","1","1","2"
"镇州西面行营都招","1","1","2"
"州西面行营都招讨","1","1","2"
"西面行营都招讨使","1","1","2"
"军卫大将军杜叔良","1","1","2"
"深州诸道行营节度","1","1","2"
"州诸道行营节度使","1","1","2"
"户部侍郎判度支窦","1","1","2"
"部侍郎判度支窦易","1","1","2"
"侍郎判度支窦易直","1","1","2"
"左神策军中尉仇士","1","1","2"
"神策军中尉仇士良","1","1","2"
"策军中尉仇士良杀","1","1","2"
"军中尉仇士良杀王","1","1","2"
"中尉仇士良杀王涯","1","1","2"
"凤翔监军使张仲清","1","1","2"
"翔监军使张仲清杀","1","1","2"
"杀左金吾卫将军李","1","1","2"
"左金吾卫将军李贞","1","1","2"
"金吾卫将军李贞素","1","1","2"
"右金吾卫大将军李","1","1","2"
"金吾卫大将军李思","1","1","2"
"吾卫大将军李思忠","1","1","2"
"党项都将西南面招","1","1","2"
"项都将西南面招讨","1","1","2"
"都将西南面招讨使","1","1","2"
"武宁军节度使李彦","1","1","2"
"宁军节度使李彦佐","1","1","2"
"晋绛行营诸军节度","1","1","2"
"绛行营诸军节度招","1","1","2"
"行营诸军节度招讨","1","1","2"
"营诸军节度招讨使","1","1","2"
"忠武军节度使王宰","1","1","2"
"淮南节度副大使杜","1","1","2"
"山南东道节度使郑","1","1","2"
"南东道节度使郑肃","1","1","2"
"诸道盐铁转运使马","1","1","2"
"道盐铁转运使马植","1","1","2"
"凤翔节度使李安业","1","1","2"
"平夏党项行营兵马","1","1","2"
"夏党项行营兵马都","1","1","2"
"党项行营兵马都统","1","1","2"
"诸道盐铁转运使裴","1","1","2"
"道盐铁转运使裴休","1","1","2"
"成德军节度副大使","1","1","2"
"德军节度副大使王","1","1","2"
"军节度副大使王绍","1","1","2"
"节度副大使王绍鼎","1","1","2"
"前护国军节度使崔","1","1","2"
"护国军节度使崔胤","1","1","2"
"军节度使崔胤中书","2","0","2"
"节度使崔胤中书侍","2","0","2"
"度使崔胤中书侍郎","2","0","2"
"彰义军节度使张琏","1","1","2"
"凤翔西北行营招讨","1","1","2"
"翔西北行营招讨使","1","1","2"
"静难军节度使李思","1","1","2"
"凤翔四面行营副都","1","1","2"
"翔四面行营副都统","1","1","2"
"魏博节度使罗弘信","1","1","2"
"衢州刺史陈岌叛附","2","0","2"
"武定军节度使拓拔","1","1","2"
"定军节度使拓拔思","1","1","2"
"军节度使拓拔思恭","1","1","2"
"节度使拓拔思恭叛","1","1","2"
"静海军节度使独孤","1","1","2"
"海军节度使独孤损","1","1","2"
"太子太保致仕赵崇","1","1","2"
"忠国军节度使高彦","1","1","2"
"太宗文德顺圣皇后","1","1","2"
"宗文德顺圣皇后长","1","1","2"
"文德顺圣皇后长孙","1","1","2"
"德顺圣皇后长孙氏","1","1","2"
"长安恶少年二千人","1","1","2"
"少补左司御兵曹参","1","1","2"
"补左司御兵曹参军","1","1","2"
"君集积石道行军总","2","0","2"
"集积石道行军总管","2","0","2"
"大丞相府司录参军","1","1","2"
"太子洗马萧德言主","1","1","2"
"特进同中书门下三","1","1","2"
"进同中书门下三品","1","1","2"
"襄邑恭王神符五世","1","1","2"
"邑恭王神符五世孙","1","1","2"
"范阳大都督府长史","1","1","2"
"山西河东慰抚大使","1","1","2"
"高宗天皇大圣大弘","1","1","2"
"宗天皇大圣大弘孝","1","1","2"
"天兵西道前军总管","1","1","2"
"右羽林卫大将军阎","1","1","2"
"羽林卫大将军阎敬","1","1","2"
"林卫大将军阎敬容","1","1","2"
"大大圣大昭孝皇帝","2","0","2"
"太子右庶子李怀远","1","1","2"
"道大圣大明孝皇帝","2","0","2"
"上尊号曰开元天宝","2","0","2"
"尊号曰开元天宝圣","2","0","2"
"号曰开元天宝圣文","2","0","2"
"曰开元天宝圣文神","2","0","2"
"元天宝圣文神武应","1","1","2"
"天宝圣文神武应道","1","1","2"
"文明武德大圣大宣","2","0","2"
"明武德大圣大宣孝","2","0","2"
"武德大圣大宣孝皇","2","0","2"
"德大圣大宣孝皇帝","2","0","2"
"朔方军节度使路嗣","1","1","2"
"方军节度使路嗣恭","1","1","2"
"节度使马璘吐蕃战","2","0","2"
"昭义军节度使李承","1","1","2"
"义军节度使李承昭","1","1","2"
"山南西道节度使张","1","1","2"
"南西道节度使张献","1","1","2"
"西道节度使张献恭","1","1","2"
"昭文章武大圣神孝","2","0","2"
"文章武大圣神孝皇","2","0","2"
"章武大圣神孝皇帝","2","0","2"
"皇太子皇帝位太极","2","0","2"
"太子皇帝位太极殿","2","0","2"
"元圣明成武献文睿","2","0","2"
"圣明成武献文睿智","2","0","2"
"前昭义军节度使李","1","1","2"
"昭义军节度使李罕","1","1","2"
"宁四面行营副都统","1","1","2"
"将军田仁会诬奏御","1","1","2"
"军田仁会诬奏御史","1","1","2"
"田仁会诬奏御史张","1","1","2"
"仁会诬奏御史张仁","1","1","2"
"炎见裴行俭破突厥","1","1","2"
"前率府仓曹参军曲","1","1","2"
"率府仓曹参军曲元","1","1","2"
"府仓曹参军曲元衡","1","1","2"
"龙武将军葛福顺相","1","1","2"
"荥阳楼烦二郡太守","1","1","2"
"虎牙郎将高君雅见","1","1","2"
"开阳府司马刘政会","1","1","2"
"骁卫大将军屈突通","1","1","2"
"大都督内外诸军事","1","1","2"
"右屯卫将军宇文化","1","1","2"
"左武卫大将军王世","1","1","2"
"武卫大将军王世充","1","1","2"
"卫大将军王世充立","1","1","2"
"大将军王世充立越","1","1","2"
"将军王世充立越王","1","1","2"
"丞相府司录参军窦","1","1","2"
"相府司录参军窦威","1","1","2"
"秦王世民西讨元帅","2","0","2"
"岩州刺史王德仁杀","1","1","2"
"招慰使宇文明达反","1","1","2"
"行军总管赵慈景攻","1","1","2"
"左屯卫将军何潘仁","1","1","2"
"右武卫大将军姜宝","1","1","2"
"武卫大将军姜宝谊","1","1","2"
"工部尚书独孤怀恩","1","1","2"
"检校隰州总管刘师","1","1","2"
"校隰州总管刘师善","1","1","2"
"隰州总管刘师善谋","1","1","2"
"州总管刘师善谋反","1","1","2"
"瓜州刺史贺拔行威","1","1","2"
"州刺史贺拔行威反","1","1","2"
"太常少卿李仲文谋","1","1","2"
"常少卿李仲文谋反","1","1","2"
"左武卫将军王君廓","1","1","2"
"东盐州治中王才艺","1","1","2"
"盐州治中王才艺杀","1","1","2"
"蔚州总管高开道反","1","1","2"
"州道行台左仆射窦","1","1","2"
"道行台左仆射窦轨","1","1","2"
"洪州总管张善安反","1","1","2"
"南州刺史庞孝泰反","1","1","2"
"淮南道行台左仆射","1","1","2"
"南道行台左仆射辅","1","1","2"
"道行台左仆射辅公","1","1","2"
"渔阳部将张金树杀","1","1","2"
"庆州都督杨文干反","1","1","2"
"太子右庶子高士廉","1","1","2"
"太上皇徙居大安宫","2","0","2"
"益州道行台尚书令","1","1","2"
"左右十二卫大将军","1","1","2"
"右武卫将军刘德裕","1","1","2"
"武卫将军刘德裕谋","1","1","2"
"卫将军刘德裕谋反","1","1","2"
"关内道行军大总管","1","1","2"
"右卫大将军侯君集","1","1","2"
"右屯卫大将军张士","1","1","2"
"屯卫大将军张士贵","1","1","2"
"开府仪同三司长孙","1","1","2"
"五品上子父后者爵","2","0","2"
"品上子父后者爵一","2","0","2"
"上子父后者爵一级","2","0","2"
"左骁卫大将军段志","1","1","2"
"骁卫大将军段志玄","1","1","2"
"西海道行军大总管","1","1","2"
"盐泽道行军副总管","1","1","2"
"泽道行军副总管刘","1","1","2"
"道行军副总管刘德","1","1","2"
"行军副总管刘德敏","1","1","2"
"阔水道行军总管牛","1","1","2"
"水道行军总管牛进","1","1","2"
"道行军总管牛进达","1","1","2"
"右卫大将军李大亮","1","1","2"
"代州都督刘兰谋反","1","1","2"
"官五品上子父后者","2","0","2"
"高士廉同中书门下","1","1","2"
"士廉同中书门下三","1","1","2"
"廉同中书门下三品","1","1","2"
"赐所过高年鳏寡粟","2","0","2"
"平壤道行军总管程","1","1","2"
"壤道行军总管程名","1","1","2"
"道行军总管程名振","1","1","2"
"辽东道行军总管张","1","1","2"
"东道行军总管张君","1","1","2"
"左武卫将军王君愕","1","1","2"
"平壤道行军总管张","1","1","2"
"壤道行军总管张文","1","1","2"
"道行军总管张文干","1","1","2"
"军大将军执失思力","1","1","2"
"左武卫大将军牛进","1","1","2"
"武卫大将军牛进达","1","1","2"
"左骁卫大将军契苾","2","0","2"
"昆丘道行军大总管","1","1","2"
"左武卫大将军薛万","1","1","2"
"武卫大将军薛万彻","1","1","2"
"昆丘道行军总管阿","1","1","2"
"丘道行军总管阿史","1","1","2"
"茂州都督张士贵讨","1","1","2"
"皇太子听政金液门","2","0","2"
"左武卫大将军梁建","1","1","2"
"武卫大将军梁建方","1","1","2"
"右骁卫大将军契苾","2","0","2"
"高阳巴陵公主谋反","1","1","2"
"睦州女子陈硕真反","1","1","2"
"婺州刺史崔义玄讨","1","1","2"
"左卫中郎将苏定方","1","1","2"
"左屯卫大将军杨胄","1","1","2"
"右屯卫将军苏定方","1","1","2"
"度支尚书卢承庆参","1","1","2"
"凉州都督长史赵持","1","1","2"
"州都督长史赵持满","1","1","2"
"左骁卫大将军苏定","1","1","2"
"骁卫大将军苏定方","1","1","2"
"妇人八十上版授郡","2","0","2"
"左武卫大将军苏定","1","1","2"
"武卫大将军苏定方","1","1","2"
"定襄都督阿史德枢","1","1","2"
"襄都督阿史德枢宾","1","1","2"
"左武卫大将军郑仁","1","1","2"
"武卫大将军郑仁泰","1","1","2"
"左骁卫将军刘伯英","1","1","2"
"萧嗣业扶余道行军","2","0","2"
"嗣业扶余道行军总","2","0","2"
"业扶余道行军总管","2","0","2"
"右骁卫将军程名振","1","1","2"
"左骁卫将军庞孝泰","1","1","2"
"郑仁泰铁勒道行军","2","0","2"
"铁勒道行军大总管","1","1","2"
"左骁卫大将军阿史","1","1","2"
"长岑道行军大总管","1","1","2"
"右威卫将军孙仁师","1","1","2"
"冀州都督长史刘伯","1","1","2"
"州都督长史刘伯英","1","1","2"
"青海道行军大总管","1","1","2"
"司列太常伯刘祥道","1","1","2"
"太子右中护乐彦玮","1","1","2"
"左武卫将军曹继叔","1","1","2"
"带方州刺史刘仁轨","1","1","2"
"辽东道行台大总管","1","1","2"
"司列少常伯赵仁本","1","1","2"
"司平太常伯阎立本","1","1","2"
"乌海道行军大总管","1","1","2"
"右威卫大将军薛仁","1","1","2"
"威卫大将军薛仁贵","1","1","2"
"左监门卫大将军高","1","1","2"
"军卫大将军李谨行","1","1","2"
"凉州道行军大总管","1","1","2"
"金紫光禄大夫致仕","2","0","2"
"鸡林道行军大总管","1","1","2"
"刘仁轨尚书左仆射","2","0","2"
"左监门卫中郎将令","1","1","2"
"监门卫中郎将令狐","1","1","2"
"门卫中郎将令狐智","1","1","2"
"卫中郎将令狐智通","1","1","2"
"左卫大将军刘审礼","1","1","2"
"卫大将军刘审礼等","1","1","2"
"大将军刘审礼等十","1","1","2"
"将军刘审礼等十二","1","1","2"
"洮河道行军大总管","1","1","2"
"大都护府长史萧嗣","1","1","2"
"都护府长史萧嗣业","1","1","2"
"裴行俭定襄道行军","2","0","2"
"行俭定襄道行军大","2","0","2"
"俭定襄道行军大总","2","0","2"
"常州人刘龙子谋反","1","1","2"
"定襄道副总管曹怀","1","1","2"
