"N-gram","元史","元史翻译","Total"
"史台大臣上奏","0","14","14"
"台大臣上奏说","0","14","14"
"星干犯鬼宿天","0","14","14"
"中书省官员上","0","14","14"
"书省官员上言","0","14","14"
"处行中书省平","6","7","13"
"翰林国史院编","7","6","13"
"林国史院编修","7","6","13"
"行中书省右丞","6","7","13"
"肃政廉访副使","7","6","13"
"加镇国上将军","8","5","13"
"江浙行中书省","7","6","13"
"总管府达鲁花","7","6","13"
"管府达鲁花赤","7","6","13"
"参议枢密院事","6","7","13"
"的车驾从上都","0","13","13"
"星干犯斗宿天","0","13","13"
"干犯斗宿天区","0","13","13"
"至元二十四年","0","13","13"
"至元二十九年","0","13","13"
"大圣寿万安寺","6","6","12"
"都转运盐使司","6","6","12"
"中书省左丞相","4","8","12"
"武宁王彻彻秃","6","6","12"
"广行省平章政","6","6","12"
"翰林侍读学士","6","6","12"
"宣慰司都元帅","7","5","12"
"东道肃政廉访","5","7","12"
"道宣慰使都元","6","6","12"
"路兵马都元帅","6","6","12"
"左丞相耶律铸","6","6","12"
"大都路总管府","6","6","12"
"东川行枢密院","4","8","12"
"州路达鲁花赤","8","4","12"
"江淮行中书省","4","8","12"
"纳速剌丁灭里","6","6","12"
"齐王月鲁帖木","6","6","12"
"大承天护圣寺","6","6","12"
"南行台治书侍","6","6","12"
"淮南行省平章","6","6","12"
"任命中书右丞","0","12","12"
"诸侯王只必帖","0","12","12"
"侯王只必帖木","0","12","12"
"派遣使臣代表","0","12","12"
"遣使臣代表皇","0","12","12"
"代表皇帝祭祀","0","12","12"
"淮西行枢密院","4","7","11"
"陕西行省平章","5","6","11"
"钞二万五千贯","6","5","11"
"四川行省平章","7","4","11"
"江西行省参知","5","6","11"
"授镇国上将军","6","5","11"
"应奉翰林文字","6","5","11"
"河南行省参知","6","5","11"
"等处行尚书省","8","3","11"
"犯太微西垣上","9","2","11"
"太微西垣上将","9","2","11"
"大夫玉速帖木","5","6","11"
"福建行中书省","4","7","11"
"江西行枢密院","4","7","11"
"行御史台中丞","7","4","11"
"至元二十一年","0","11","11"
"诸侯王塔察儿","0","11","11"
"行中书省事务","0","11","11"
"的车驾临幸上","0","11","11"
"使臣代表皇帝","0","11","11"
"臣代表皇帝祭","0","11","11"
"表皇帝祭祀五","0","11","11"
"干犯垒壁阵星","0","11","11"
"星干犯亢宿天","0","11","11"
"干犯亢宿天区","0","11","11"
"阿鲁辉帖木儿","0","11","11"
"河南等路宣慰","5","5","10"
"翊侍卫亲军都","5","5","10"
"云南行省右丞","4","6","10"
"湖广行省参知","6","4","10"
"广行省参知政","6","4","10"
"北行省平章政","4","6","10"
"北等处行中书","5","5","10"
"南江北等处行","5","5","10"
"丞相伯颜南征","5","5","10"
"浙西道宣慰使","5","5","10"
"奎章阁大学士","5","5","10"
"尚书省平章政","4","6","10"
"集贤侍读学士","5","5","10"
"中书左司都事","5","5","10"
"东西道提刑按","5","5","10"
"平章政事赛典","4","6","10"
"章政事赛典赤","4","6","10"
"国王王禃遣使","10","0","10"
"路总管府判官","5","5","10"
"大护国仁王寺","5","5","10"
"制置使李庭芝","4","6","10"
"林学士承旨撒","4","6","10"
"扬州都统姜才","5","5","10"
"议中赞金方庆","5","5","10"
"御史大夫玉速","4","6","10"
"史大夫玉速帖","4","6","10"
"右丞相铁木迭","5","5","10"
"左右司员外郎","5","5","10"
"江南行台治书","5","5","10"
"中书左司郎中","5","5","10"
"肃政廉访司事","6","4","10"
"为开府仪同三","0","10","10"
"任命中书左丞","0","10","10"
"至元二十三年","0","10","10"
"数额各不相同","0","10","10"
"奉上表章前来","0","10","10"
"王礻直派遣使","0","10","10"
"礻直派遣使臣","0","10","10"
"执掌中书省事","0","10","10"
"掌中书省事务","0","10","10"
"南国王陈光日","0","10","10"
"国王陈光日丙","0","10","10"
"在太庙举行祭","0","10","10"
"太庙举行祭祀","0","10","10"
"全国共有一百","0","10","10"
"星干犯轩辕星","0","10","10"
"干犯轩辕星座","0","10","10"
"太阴星干犯房","0","10","10"
"阴星干犯房宿","0","10","10"
"来进贡地方特","0","10","10"
"死刑的罪犯共","0","10","10"
"尚书省大臣上","0","10","10"
"枢密院上奏说","0","10","10"
"省官员上言说","0","10","10"
"命令有关部门","0","10","10"
"大明军队占领","0","10","10"
"命知枢密院事","2","7","9"
"四川行省参知","4","5","9"
"川行省参知政","4","5","9"
"皇后弘吉剌氏","5","4","9"
"赐黄金五十两","5","4","9"
"平章阿里海牙","5","4","9"
"川行省平章政","6","3","9"
"知制诰同修国","5","4","9"
"制诰同修国史","5","4","9"
"慰司都元帅府","5","4","9"
"南行台御史中","4","5","9"
"银七千五百两","5","4","9"
"都路达鲁花赤","5","4","9"
"陕西五路西蜀","6","3","9"
"西五路西蜀四","6","3","9"
"五路西蜀四川","6","3","9"
"湖广行中书省","4","5","9"
"前中书平章政","5","4","9"
"昭献元圣皇后","4","5","9"
"授昭勇大将军","6","3","9"
"太常礼仪院事","4","5","9"
"西肃政廉访使","4","5","9"
"御史台侍御史","4","5","9"
"西行台监察御","5","4","9"
"丞相铁木迭儿","0","9","9"
"为中书参知政","0","9","9"
"任命平章政事","0","9","9"
"入朝觐见皇上","0","9","9"
"的世子王忄甚","0","9","9"
"中书省上奏说","0","9","9"
"赐给诸侯王阿","0","9","9"
"皇上的车驾从","0","9","9"
"上的车驾从上","0","9","9"
"太阴星干犯轩","0","9","9"
"阴星干犯轩辕","0","9","9"
"掌管中书省事","0","9","9"
"管中书省事务","0","9","9"
"前来恭贺新年","0","9","9"
"品秩为正三品","0","9","9"
"星干犯垒壁阵","0","9","9"
"免征今年的田","0","9","9"
"征今年的田租","0","9","9"
"太阴星干犯鬼","0","9","9"
"阴星干犯鬼宿","0","9","9"
"至元二十八年","0","9","9"
"赈济粮食两个","0","9","9"
"济粮食两个月","0","9","9"
"赈济粮食一个","0","9","9"
"济粮食一个月","0","9","9"
"奕赫抵雅尔丁","0","9","9"
"南等路宣慰使","4","4","8"
"南河北道提刑","4","4","8"
"河北道提刑按","4","4","8"
"南道肃政廉访","4","4","8"
"云南行省左丞","4","4","8"
"辽阳行省平章","4","4","8"
"阳行省平章政","4","4","8"
"忠翊侍卫亲军","4","4","8"
"湘宁王八剌失","4","4","8"
"宁王八剌失里","4","4","8"
"岭北行省平章","4","4","8"
"知枢密院事秃","4","4","8"
"枢密院事铁木","4","4","8"
"江西等处行中","5","3","8"
"西等处行中书","5","3","8"
"河南江北等处","4","4","8"
"江北等处行中","4","4","8"
"侍卫都指挥使","4","4","8"
"丞相哈剌哈孙","3","5","8"
"知制诰修国史","8","0","8"
"行尚书省平章","4","4","8"
"路兵马都总管","4","4","8"
"西行省左右司","4","4","8"
"陕西汉中道提","4","4","8"
"西汉中道提刑","4","4","8"
"汉中道提刑按","4","4","8"
"中道提刑按察","4","4","8"
"户部尚书王巨","4","4","8"
"部尚书王巨济","4","4","8"
"同知宣徽院事","5","3","8"
"礼部侍郎殷弘","4","4","8"
"二十一年三月","4","4","8"
"河北西路兵马","4","4","8"
"中书令耶律楚","4","4","8"
"书令耶律楚材","4","4","8"
"圣德神功文武","4","4","8"
"德神功文武皇","4","4","8"
"神功文武皇帝","4","4","8"
"大名等路宣抚","3","5","8"
"南国王陈光昞","8","0","8"
"银四百五十两","4","4","8"
"等路行中书省","5","3","8"
"国子祭酒许衡","4","4","8"
"中书省左右司","4","4","8"
"政事阿里海牙","4","4","8"
"北平王南木合","4","4","8"
"都元帅张德润","4","4","8"
"淮西宣慰使昂","4","4","8"
"西宣慰使昂吉","4","4","8"
"江淮行省左丞","4","4","8"
"蒙古侍卫亲军","4","4","8"
"省平章政事阿","3","5","8"
"安南国王陈日","3","5","8"
"辽阳行省左丞","4","4","8"
"平章政事伯颜","3","5","8"
"监察御史观音","4","4","8"
"御史大夫铁失","4","4","8"
"隆镇卫指挥使","4","4","8"
"监察御史劾奏","5","3","8"
"陕西汉中道肃","4","4","8"
"西汉中道肃政","4","4","8"
"汉中道肃政廉","4","4","8"
"中道肃政廉访","4","4","8"
"阶金紫光禄大","4","4","8"
"江浙行省丞相","4","4","8"
"东道宣慰使都","4","4","8"
"陕西行台监察","4","4","8"
"均任参知政事","0","8","8"
"大雨伤害庄稼","0","8","8"
"为集贤大学士","0","8","8"
"钱钞一万五千","0","8","8"
"钞一万五千贯","0","8","8"
"为江浙行省平","0","8","8"
"王帖木儿不花","0","8","8"
"为江浙行省左","0","8","8"
"至元三十一年","0","8","8"
"赐给高丽国王","0","8","8"
"派遣使臣奉上","0","8","8"
"遣使臣奉上表","0","8","8"
"使臣奉上表章","0","8","8"
"遣使臣前来进","0","8","8"
"使臣前来进贡","0","8","8"
"给诸侯王阿只","0","8","8"
"新归附的百姓","0","8","8"
"处置中书省事","0","8","8"
"置中书省事务","0","8","8"
"派遣使臣来进","0","8","8"
"皇帝的车驾临","0","8","8"
"帝的车驾临幸","0","8","8"
"星干犯右执法","0","8","8"
"干犯右执法星","0","8","8"
"荧惑星干犯太","0","8","8"
"星干犯太微西","0","8","8"
"干犯太微西垣","0","8","8"
"皇帝祭祀五岳","0","8","8"
"高丽国王王忄","0","8","8"
"丽国王王忄甚","0","8","8"
"按察司的治所","0","8","8"
"察司的治所迁","0","8","8"
"国王王贝春派","0","8","8"
"王王贝春派遣","0","8","8"
"星干犯氐宿天","0","8","8"
"干犯氐宿天区","0","8","8"
"为金紫光禄大","0","8","8"
"至元二十五年","0","8","8"
"粮食予以赈济","0","8","8"
"王月鲁帖木儿","0","8","8"
"入朝拜见皇帝","0","8","8"
"金二百五十两","4","3","7"
"平章政事赵世","4","3","7"
"知枢密院事铁","4","3","7"
"蒙古军都元帅","3","4","7"
"钦察亲军都指","4","3","7"
"察亲军都指挥","4","3","7"
"升参议中书省","4","3","7"
"西道肃政廉访","4","3","7"
"诸道行御史台","5","2","7"
"海道运粮万户","4","3","7"
"银二百五十两","4","3","7"
"西夏中兴等路","5","2","7"
"河南等路行中","4","3","7"
"南等路行中书","4","3","7"
"参知政事阿里","3","4","7"
"川行枢密院事","4","3","7"
"中书省右丞相","2","5","7"
"枢密副使张易","4","3","7"
"汉天师张宗演","4","3","7"
"扬州行中书省","2","5","7"
"江淮行省平章","3","4","7"
"平章政事阿里","3","4","7"
"御史中丞崔彧","7","0","7"
"江西行省参政","4","3","7"
"命翰林学士承","1","6","7"
"湖广行省右丞","3","4","7"
"尚书省参知政","2","5","7"
"河南江北行省","3","4","7"
"太常礼仪院使","4","3","7"
"察御史观音保","3","4","7"
"御史大夫纽泽","4","3","7"
"遣翰林学士承","4","3","7"
"林学士承旨阿","4","3","7"
"翰林国史院官","3","4","7"
"路总管府达鲁","3","4","7"
"河南道提刑按","3","4","7"
"南道提刑按察","3","4","7"
"福建道宣慰使","4","3","7"
"为中书省参知","0","7","7"
"连降大雨伤害","0","7","7"
"降大雨伤害庄","0","7","7"
"为昭文馆大学","0","7","7"
"设立行枢密院","0","7","7"
"孛罗帖木儿为","0","7","7"
"知制诰兼修国","0","7","7"
"制诰兼修国史","0","7","7"
"为镇国上将军","0","7","7"
"为治书侍御史","0","7","7"
"太祖二十一年","0","7","7"
"抄没他的家产","0","7","7"
"便宜行事都总","0","7","7"
"宜行事都总帅","0","7","7"
"太阴星干犯斗","0","7","7"
"阴星干犯斗宿","0","7","7"
"遣使臣来进贡","0","7","7"
"星干犯轩辕座","0","7","7"
"惑星干犯太微","0","7","7"
"粮食赈济饥民","0","7","7"
"不同数额的银","0","7","7"
"行中书省上奏","0","7","7"
"潭州行中书省","0","7","7"
"的治所迁移到","0","7","7"
"前来进贡当地","0","7","7"
"进贡当地特产","0","7","7"
"的秩禄升格为","0","7","7"
"司的治所迁到","0","7","7"
"至元二十二年","0","7","7"
"属于湖广行省","0","7","7"
"太阴星干犯氐","0","7","7"
"阴星干犯氐宿","0","7","7"
"星凌犯垒壁阵","0","7","7"
"咬儿哈的迷失","0","7","7"
"下令有关部门","0","7","7"
"同意这项提议","0","7","7"
"为怀远大将军","0","7","7"
"枢密院断事官","3","3","6"
"东左副都元帅","3","3","6"
"提刑按察司副","3","3","6"
"刑按察司副使","3","3","6"
"南行中书省左","3","3","6"
"江西榷茶转运","2","4","6"
"参知政事忻都","3","3","6"
"参议尚书省事","3","3","6"
"安南国王陈益","3","3","6"
"南国王陈益稷","3","3","6"
"平章政事麦术","3","3","6"
"章政事麦术丁","3","3","6"
"御史大夫脱欢","3","3","6"
"江西行省右丞","3","3","6"
"知枢密院事火","3","3","6"
"枢密院事火沙","3","3","6"
"陕西行省左丞","3","3","6"
"平章政事秃坚","3","3","6"
"木知枢密院事","6","0","6"
"太子爱猷识理","3","3","6"
"子爱猷识理达","3","3","6"
"爱猷识理达腊","3","3","6"
"仪天兴圣慈仁","3","3","6"
"天兴圣慈仁昭","3","3","6"
"兴圣慈仁昭懿","3","3","6"
"圣慈仁昭懿寿","3","3","6"
"慈仁昭懿寿元","3","3","6"
"河南行中书省","3","3","6"
"左卫亲军都指","3","3","6"
"蒙古军都万户","3","3","6"
"等处行枢密院","3","3","6"
"佥都元帅府事","3","3","6"
"中书右司员外","3","3","6"
"书右司员外郎","3","3","6"
"西行省左丞相","3","3","6"
"中书右司郎中","3","3","6"
"山北辽东道提","3","3","6"
"北辽东道提刑","3","3","6"
"辽东道提刑按","3","3","6"
"燕南河北道肃","3","3","6"
"南河北道肃政","3","3","6"
"河北道肃政廉","3","3","6"
"道肃政廉访副","3","3","6"
"赠翰林学士承","3","3","6"
"湖北道提刑按","3","3","6"
"湖北道肃政廉","3","3","6"
"山南江北道肃","3","3","6"
"南江北道肃政","3","3","6"
"江北道肃政廉","3","3","6"
"江南诸道行御","3","3","6"
"南诸道行御史","3","3","6"
"湖广行省左右","3","3","6"
"广行省左右司","3","3","6"
"处行中书省左","3","3","6"
"两浙都转运盐","3","3","6"
"浙都转运盐使","3","3","6"
"十一年十一月","2","4","6"
"武略将军副统","3","3","6"
"礼部尚书柴椿","3","3","6"
"北西路兵马都","3","3","6"
"西路兵马都元","3","3","6"
"燕京路宣慰使","3","3","6"
"礼部郎中孟甲","3","3","6"
"八百三十三两","3","3","6"
"右丞相史天泽","3","3","6"
"巩昌路总帅汪","2","4","6"
"昌路总帅汪惟","2","4","6"
"路总帅汪惟正","2","4","6"
"平章政事赵璧","3","3","6"
"定路达鲁花赤","5","1","6"
"国王王禃遣臣","6","0","6"
"云南王忽哥赤","3","3","6"
"高丽世子王愖","6","0","6"
"荧惑犯太微西","6","0","6"
"惑犯太微西垣","6","0","6"
"太子赞善王恂","3","3","6"
"忽都鲁揭里迷","3","3","6"
"都鲁揭里迷失","3","3","6"
"符宝郎董文忠","3","3","6"
"副都元帅张德","3","3","6"
"中书右丞阿里","3","3","6"
"淮东制置使李","3","3","6"
"东制置使李庭","3","3","6"
"国信使廉希贤","3","3","6"
"脱博忽鲁秃花","3","3","6"
"宋扬州都统姜","4","2","6"
"贞懿顺圣昭天","3","3","6"
"懿顺圣昭天睿","3","3","6"
"顺圣昭天睿文","3","3","6"
"圣昭天睿文光","3","3","6"
"昭天睿文光应","3","3","6"
"天睿文光应皇","3","3","6"
"睿文光应皇后","3","3","6"
"两浙大都督府","3","3","6"
"千六百七十二","3","3","6"
"福建路宣慰使","3","3","6"
"安抚使杨邦宪","2","4","6"
"二万一千六百","3","3","6"
"丽国王王睶遣","6","0","6"
"佥议中赞金方","2","4","6"
"一万二千五百","2","4","6"
"二万一千五百","3","3","6"
"学士承旨撒里","2","4","6"
"士承旨撒里蛮","2","4","6"
"四千九百四十","3","3","6"
"道宣慰司同知","3","3","6"
"便宜都总帅府","5","1","6"
"行中书省丞相","2","4","6"
"日烜遣中大夫","6","0","6"
"广东宣慰使月","3","3","6"
"治书侍御史陈","3","3","6"
"书侍御史陈天","3","3","6"
"侍御史陈天祥","3","3","6"
"万六千二百锭","3","3","6"
"四千三百二十","3","3","6"
"浙东道宣慰副","3","3","6"
"东道宣慰副使","3","3","6"
"行尚书省节制","3","3","6"
"西行枢密院副","3","3","6"
"平章政事秃满","3","3","6"
"行尚书省参政","3","3","6"
"山东东西道提","3","3","6"
"东东西道提刑","3","3","6"
"二万二千八百","3","3","6"
"幸大圣寿万安","3","3","6"
"御史大夫月鲁","4","2","6"
"庄懿慈圣皇后","3","3","6"
"平章政事李孟","3","3","6"
"省平章政事伯","2","4","6"
"书平章政事塔","3","3","6"
"昌王八剌失里","3","3","6"
"林学士承旨斡","3","3","6"
"大天源延圣寺","3","3","6"
"翼献景孝皇帝","3","3","6"
"仁献章圣皇后","3","3","6"
"书平章政事哈","3","3","6"
"平章政事哈八","3","3","6"
"文献昭圣皇后","3","3","6"
"左丞相倒剌沙","3","3","6"
"御史大夫先帖","6","0","6"
"史大夫先帖木","6","0","6"
"东路蒙古元帅","3","3","6"
"皇弟燕帖古思","3","3","6"
"东提刑按察使","3","3","6"
"四川行省左丞","3","3","6"
"陕西行中书省","2","4","6"
"提刑按察司改","2","4","6"
"赐白金五十两","3","3","6"
"福建行省左丞","2","4","6"
"佥行枢密院事","3","3","6"
"广行省左丞相","3","3","6"
"枢密副使孛罗","3","3","6"
"南台御史大夫","3","3","6"
"大都路达鲁花","3","3","6"
"同知太常礼仪","3","3","6"
"知太常礼仪院","3","3","6"
"右丞相搠思监","3","3","6"
"加金紫光禄大","4","2","6"
"丞相达识帖睦","3","3","6"
"右丞相帖木迭","3","3","6"
"浙西肃政廉访","3","3","6"
"江浙行省左右","3","3","6"
"浙行省左右司","3","3","6"
"州管内观察使","3","3","6"
"河北河南道提","3","3","6"
"北河南道提刑","3","3","6"
"四川北道宣慰","3","3","6"
"丞相伯颜伐宋","3","3","6"
"辽阳行省右丞","2","4","6"
"省左右司都事","3","3","6"
"四川道提刑按","3","3","6"
"川道提刑按察","3","3","6"
"御史大夫玉昔","3","3","6"
"史大夫玉昔帖","3","3","6"
"大夫玉昔帖木","3","3","6"
"行御史台侍御","3","3","6"
"御史中丞杨朵","3","3","6"
"陕西行台治书","3","3","6"
"西行台治书侍","3","3","6"
"江西行省左右","3","3","6"
"路总管府推官","3","3","6"
"二十四年正月","3","3","6"
"秘书监赵良弼","3","3","6"
"任命知枢密院","0","6","6"
"知枢密院事也","0","6","6"
"至正二十五年","0","6","6"
"为河南行省左","0","6","6"
"任翰林学士承","0","6","6"
"拜为监察御史","0","6","6"
"兵部侍郎黑的","0","6","6"
"诸侯王和百官","0","6","6"
"太白金星白昼","0","6","6"
"白金星白昼出","0","6","6"
"金星白昼出现","0","6","6"
"赐给诸侯王塔","0","6","6"
"二千五百两白","0","6","6"
"千五百两白银","0","6","6"
"带花纹的绸缎","0","6","6"
"诸侯王合必赤","0","6","6"
"高丽派遣使臣","0","6","6"
"中书省的事务","0","6","6"
"议中书省事务","0","6","6"
"陈光日丙派遣","0","6","6"
"光日丙派遣使","0","6","6"
"日丙派遣使臣","0","6","6"
"派遣使臣进贡","0","6","6"
"给高丽国王王","0","6","6"
"车驾从上都来","0","6","6"
"驾从上都来到","0","6","6"
"庙举行祭祀大","0","6","6"
"举行祭祀大典","0","6","6"
"皇上的车驾临","0","6","6"
"上的车驾临幸","0","6","6"
"祭祀五岳四渎","0","6","6"
"白金星干犯轩","0","6","6"
"金星干犯轩辕","0","6","6"
"太阴星干犯天","0","6","6"
"隶属于宣徽院","0","6","6"
"任命御史中丞","0","6","6"
"驾从上都抵达","0","6","6"
"免除今年的田","0","6","6"
"除今年的田租","0","6","6"
"同数额的银两","0","6","6"
"带着诏书前去","0","6","6"
"诏书前去招降","0","6","6"
"从上都抵达京","0","6","6"
"上都抵达京师","0","6","6"
"颁发诏书招降","0","6","6"
"学士兼国子祭","0","6","6"
"士兼国子祭酒","0","6","6"
"隶属于云南行","0","6","6"
"建造征伐日本","0","6","6"
"皇帝在京师的","0","6","6"
"帝在京师的近","0","6","6"
"在京师的近郊","0","6","6"
"征伐日本的军","0","6","6"
"中书省和御史","0","6","6"
"夫玉速帖木儿","0","6","6"
"星干犯左执法","0","6","6"
"干犯左执法星","0","6","6"
"命令江浙行省","0","6","6"
"陈日火亘派遣","0","6","6"
"任江浙行省左","0","6","6"
"隶属于湖广行","0","6","6"
"太阴星干犯亢","0","6","6"
"阴星干犯亢宿","0","6","6"
"同意这项奏请","0","6","6"
"御史大夫也先","0","6","6"
"史大夫也先帖","0","6","6"
"大夫也先帖木","0","6","6"
"夫也先帖木儿","0","6","6"
"杖责一百零七","0","6","6"
"责一百零七板","0","6","6"
"王月璐不花为","0","6","6"
"燕铁木儿奏请","0","6","6"
"铁木儿奏请将","0","6","6"
"百姓安居乐业","0","6","6"
"减轻人民负担","0","6","6"
"为同知枢密院","0","6","6"
"人民起义反元","0","6","6"
"为江浙行省参","0","6","6"
"掀起反元斗争","0","6","6"
"至正二十四年","0","6","6"
"孛罗帖木儿的","0","6","6"
"帝师八合思八","3","2","5"
"西榷茶转运使","2","3","5"
"一万二千八百","2","3","5"
"省平章政事赵","3","2","5"
"进开府仪同三","4","1","5"
"授开府仪同三","3","2","5"
"江南行台中丞","3","2","5"
"省参知政事张","2","3","5"
"台知枢密院事","3","2","5"
"皇太子爱猷识","3","2","5"
"右卫阿速亲军","3","2","5"
"卫阿速亲军都","3","2","5"
"阿速亲军都指","3","2","5"
"速亲军都指挥","3","2","5"
"佥河南廉访司","3","2","5"
"河南廉访司事","3","2","5"
"河南行省右丞","2","3","5"
"赠金紫光禄大","2","3","5"
"宣抚使廉希宪","3","2","5"
"湖广平章政事","2","3","5"
"书省右司都事","2","3","5"
"授翰林学士承","3","2","5"
"处行中书省参","3","2","5"
"遣礼部尚书柴","3","2","5"
"太师国王木华","3","2","5"
"师国王木华黎","3","2","5"
"州等处都元帅","3","2","5"
"处行尚书省事","4","1","5"
"谕高丽国王王","3","2","5"
"立十路宣抚司","3","2","5"
"中书左丞张文","3","2","5"
"书左丞张文谦","3","2","5"
"名等路宣抚使","2","3","5"
"平章政事王文","2","3","5"
"章政事王文统","2","3","5"
"军民达鲁花赤","3","2","5"
"顺德等路宣慰","3","2","5"
"德等路宣慰使","3","2","5"
"中书省左右部","2","3","5"
"国王陈光昞遣","5","0","5"
"王陈光昞遣使","5","0","5"
"银二万五千两","4","1","5"
"北京行中书省","2","3","5"
"陕西五路四川","3","2","5"
"西五路四川行","3","2","5"
"平章政事忽都","2","3","5"
"中书右丞相伯","2","3","5"
"书右丞相伯颜","2","3","5"
"天下户一百九","5","0","5"
"下户一百九十","5","0","5"
"处行中书省事","3","2","5"
"高丽军民总管","3","2","5"
"代祀岳渎后土","5","0","5"
"宋淮西制置使","3","2","5"
"高丽国王王愖","5","0","5"
"州安抚使田景","2","3","5"
"安抚使田景贤","2","3","5"
"行江东道宣慰","5","0","5"
"宣慰使吕文焕","2","3","5"
