"N-gram","宋史原文","宋史翻译","Total"
"生大水灾","0","65","65"
"祝贺金主","0","65","65"
"太子詹事","31","33","64"
"二十六年","32","32","64"
"权参知政","59","5","64"
"流星大如","37","27","64"
"大如太白","33","31","64"
"主事官员","0","64","64"
"孝建元年","32","31","63"
"为给事中","21","42","63"
"提举常平","31","32","63"
"月二十一","5","58","63"
"月十七日","1","62","63"
"明年正旦","63","0","63"
"三月初一","0","63","63"
"客星侵犯","0","63","63"
"平西将军","30","32","62"
"三年二月","30","32","62"
"知开封府","36","26","62"
"右仆射兼","31","31","62"
"平章事兼","31","31","62"
"太上皇帝","30","32","62"
"使兼侍读","31","31","62"
"建威将军","29","33","62"
"集英殿修","33","29","62"
"英殿修撰","33","29","62"
"川制置使","31","31","62"
"金主生辰","61","1","62"
"星出现于","0","62","62"
"御史中承","0","62","62"
"四月初一","0","62","62"
"四年七月","31","30","61"
"兼门下侍","32","29","61"
"东京留守","28","33","61"
"西制置使","29","32","61"
"宣抚副使","29","32","61"
"录事参军","31","30","61"
"五年春正","33","28","61"
"贺明年正","61","0","61"
"将有战争","0","61","61"
"国派遣使","0","61","61"
"使者来进","0","61","61"
"进献特产","0","61","61"
"来祝贺明","0","61","61"
"祝贺明年","0","61","61"
"等来祝贺","0","61","61"
"终年六十","0","61","61"
"二年三月","29","31","60"
"秦二州刺","31","29","60"
"十二月戊","44","16","60"
"二年十月","29","31","60"
"三年七月","30","30","60"
"晋惠帝永","31","29","60"
"元年六月","30","30","60"
"元帝太兴","31","29","60"
"太康地志","28","32","60"
"都转运使","30","30","60"
"院编修官","30","30","60"
"来贺明年","60","0","60"
"上表请求","0","60","60"
"一月初一","0","60","60"
"讯问记录","0","60","60"
"贺明年新","0","60","60"
"明年新春","0","60","60"
"金主生日","0","60","60"
"彗星侵犯","0","60","60"
"晋安帝义","29","30","59"
"三年五月","29","30","59"
"嘉二十五","29","30","59"
"军都指挥","29","30","59"
"学士承旨","29","30","59"
"化军节度","29","30","59"
"氏为皇后","27","32","59"
"十二月十","3","56","59"
"有流星大","33","26","59"
"使金贺正","59","0","59"
"金贺正旦","59","0","59"
"是国家的","0","59","59"
"献给朝廷","0","59","59"
"派使者来","0","59","59"
"帝太康元","29","29","58"
"庆军节度","29","29","58"
"秘阁修撰","28","30","58"
"提举洞霄","29","29","58"
"举洞霄宫","29","29","58"
"史馆修撰","29","29","58"
"观使兼侍","29","29","58"
"十一月戊","47","11","58"
"章帝元和","30","28","58"
"集贤校理","30","28","58"
"祭祀天地","0","58","58"
"人来祝贺","0","58","58"
"吴兴太守","29","28","57"
"元年三月","29","28","57"
"成帝咸和","30","27","57"
"海军节度","27","30","57"
"川宣抚司","29","28","57"
"幸玉津园","57","0","57"
"重新起用","0","57","57"
"者来进献","0","57","57"
"来进献特","0","57","57"
"太祖亲临","0","57","57"
"建安王休","37","19","56"
"十二月甲","44","12","56"
"五年七月","28","28","56"
"晋太康地","25","31","56"
"福建安抚","28","28","56"
"平兴国宫","28","28","56"
"乾象新书","56","0","56"
"月二十四","6","50","56"
"月十九日","2","54","56"
"太子中允","27","29","56"
"很长时间","0","56","56"
"他的父亲","0","56","56"
"太白星侵","0","56","56"
"白星侵犯","0","56","56"
"征北将军","28","27","55"
"安王休仁","36","19","55"
"太康二年","28","27","55"
"帝元嘉十","27","28","55"
"崇政殿说","28","27","55"
"政殿说书","28","27","55"
"进士及第","21","34","55"
"绍兴二十","11","44","55"
"这天象预","0","55","55"
"干象新书","0","55","55"
"始兴王浚","45","9","54"
"冀二州刺","28","26","54"
"文帝黄初","30","24","54"
"十二月丙","43","11","54"
"嘉二十四","26","28","54"
"十一月乙","40","14","54"
"宣徽南院","26","28","54"
"徽南院使","26","28","54"
"兼权参知","50","4","54"
"泉观使兼","27","27","54"
"汉章帝元","28","26","54"
"入太微垣","12","42","54"
"就会出现","0","54","54"
"朝廷任命","0","54","54"
"弃城逃走","0","54","54"
"秋七月十","0","54","54"
"臣有忧患","0","54","54"
"二年八月","26","27","53"
"嘉二十二","25","28","53"
"大明三年","24","29","53"
"三年六月","27","26","53"
"国长公主","25","28","53"
"奏名进士","26","27","53"
"康军节度","27","26","53"
"知政事兼","27","26","53"
"江州太平","26","27","53"
"十一月己","43","10","53"
"制置使兼","28","25","53"
"为御史中","23","30","53"
"秘书省正","26","27","53"
"书省正字","26","27","53"
"豫章郡公","1","52","53"
"宗庙祭祀","1","52","53"
"露降临于","0","53","53"
"上奏请求","0","53","53"
"九月初一","0","53","53"
"等人来祝","0","53","53"
"二年七月","26","26","52"
"南秦二州","28","24","52"
"西大将军","25","27","52"
"州刺史南","29","23","52"
"三年九月","26","26","52"
"五年六月","26","26","52"
"十二月己","40","12","52"
"四年五月","26","26","52"
"帝元嘉二","26","26","52"
"仆射兼中","26","26","52"
"射兼中书","26","26","52"
"刘光世为","17","35","52"
"沿海制置","26","26","52"
"为检校少","11","41","52"
"江西安抚","26","26","52"
"保宁军节","26","26","52"
"赞善大夫","26","26","52"
"兵马都监","26","26","52"
"他的弟弟","0","52","52"
"为广州刺","27","24","51"
"三年十一","26","25","51"
"十一月庚","39","12","51"
"六年正月","25","26","51"
"二十八年","24","27","51"
"枢密都承","26","25","51"
"密都承旨","26","25","51"
"礼部奏名","25","26","51"
"永元铜仪","27","24","51"
"直集贤院","26","25","51"
"真宗即位","29","22","51"
"六年春正","26","25","51"
"官员上奏","0","51","51"
"举行祭祀","0","51","51"
"下诏各路","0","51","51"
"彭城王义","40","10","50"
"城王义康","40","10","50"
"二年十一","26","24","50"
"晋愍帝建","26","24","50"
"孝武帝太","22","28","50"
"武帝太元","22","28","50"
"十二月壬","39","11","50"
"路宣抚使","24","26","50"
"兼同知枢","28","22","50"
"崇信军节","25","25","50"
"十二月乙","42","8","50"
"天章阁待","25","25","50"
"一百二十","15","35","50"
"侍读学士","24","26","50"
"母亲去世","0","50","50"
"江夏王刘","0","50","50"
"到玉津园","0","50","50"
"上疏请求","0","50","50"
"骁骑将军","23","26","49"
"成帝咸康","25","24","49"
"大明二年","24","25","49"
"为右仆射","14","35","49"
"以观文殿","31","18","49"
"龙图阁待","24","25","49"
"图阁待制","24","25","49"
"嘉二十三","24","25","49"
"贤良方正","24","25","49"
"知永兴军","28","21","49"
"七月初一","0","49","49"
"杖刑以下","0","49","49"
"二十九年","24","24","48"
"十一月辛","37","11","48"
"武帝咸宁","26","22","48"
"孝建三年","24","24","48"
"怀帝永嘉","24","24","48"
"马步军都","24","24","48"
"宣徽北院","24","24","48"
"司户参军","24","24","48"
"忠武军节","24","24","48"
"检校太尉","24","24","48"
"林学士承","24","24","48"
"兵马钤辖","31","17","48"
"提举江州","24","24","48"
"举江州太","24","24","48"
"三年八月","24","24","48"
"大臣有忧","3","45","48"
"文阁直学","24","24","48"
"大理寺丞","23","25","48"
"月二十二","1","47","48"
"于是请求","0","48","48"
"报告朝廷","0","48","48"
"二月初五","0","48","48"
"尚书左承","0","48","48"
"二月初三","0","48","48"
"冬十月十","0","48","48"
"星出现在","0","48","48"
"问记录囚","0","48","48"
"为豫州刺","26","21","47"
"十二月庚","40","7","47"
"永初郡国","23","24","47"
"部奏名进","23","24","47"
"西安抚使","19","28","47"
"安抚大使","23","24","47"
"二十八宿","24","23","47"
"吴郡太守","20","27","47"
"十一月丙","41","6","47"
"晋元帝太","24","23","47"
"预示将有","0","47","47"
"夏王刘义","0","47","47"
"王刘义恭","0","47","47"
"代理参知","0","47","47"
"理参知政","0","47","47"
"使臣来进","0","47","47"
"军将军刘","20","26","46"
"游击将军","22","24","46"
"从事中郎","23","23","46"
"魏文帝黄","25","21","46"
"四年三月","23","23","46"
"十一月丁","40","6","46"
"晋武帝咸","25","21","46"
"泰始元年","23","23","46"
"徽北院使","23","23","46"
"西安抚司","23","23","46"
"江东安抚","23","23","46"
"国子博士","23","23","46"
"右文殿修","23","23","46"
"文殿修撰","23","23","46"
"为监察御","18","28","46"
"等来贺明","46","0","46"
"贺会庆节","23","23","46"
"星大如太","24","22","46"
"少数民族","0","46","46"
"认为这是","0","46","46"
"流星侵犯","0","46","46"
"臣来进贡","0","46","46"
"流刑以下","0","46","46"
"六年二月","22","23","45"
"为雍州刺","26","19","45"
"为湘州刺","25","20","45"
"帝泰始二","23","22","45"
"元年九月","22","23","45"
"四年二月","24","21","45"
"元年十一","23","22","45"
"副都指挥","23","22","45"
"赐礼部奏","23","22","45"
"谟阁直学","26","19","45"
"春正月辛","44","1","45"
"右丞相兼","35","10","45"
"兵部员外","22","23","45"
"十一月壬","41","4","45"
"检校太傅","22","23","45"
"祀景灵宫","1","44","45"
"员上奏说","0","45","45"
"渡过淮河","0","45","45"
"祝贺新春","0","45","45"
"州刺史沈","23","21","44"
"年五月甲","22","22","44"
"诸葛长民","17","27","44"
"犯右执法","22","22","44"
"孝武帝孝","22","22","44"
"武帝孝建","22","22","44"
"刺史始兴","23","21","44"
"史始兴王","23","21","44"
"十一月甲","35","9","44"
"五年四月","22","22","44"
"十二月辛","36","8","44"
"年五月丁","22","22","44"
"殿前都虞","22","22","44"
"前都虞候","22","22","44"
"事兼枢密","22","22","44"
"兼直学士","22","22","44"
"为中书舍","9","35","44"
"湖南安抚","22","22","44"
"东安抚使","19","25","44"
"提举太平","22","22","44"
"国子祭酒","22","22","44"
"咨议参军","25","19","44"
"杂犯死罪","23","21","44"
"诏求直言","27","17","44"
"宣赞舍人","22","22","44"
"韩世忠为","15","29","44"
"提举万寿","23","21","44"
"举万寿观","23","21","44"
"有关官员","0","44","44"
"回到京城","0","44","44"
"尚书右承","0","44","44"
"赦免全国","0","44","44"
"祭祀景灵","0","44","44"
"它的分野","0","44","44"
"色云气进","0","44","44"
"南谯王义","32","11","43"
"谯王义宣","32","11","43"
"六年三月","21","22","43"
"大明四年","20","23","43"
"嘉二十六","20","23","43"
"马步军副","21","22","43"
"州镇抚使","17","26","43"
"为秘书省","17","26","43"
"建武将军","21","22","43"
"州刺史武","23","20","43"
"十二月二","5","38","43"
"太子太傅","21","22","43"
"遣使来贡","43","0","43"
"知绍兴府","28","15","43"
"一万多人","0","43","43"
"春正月十","0","43","43"
"鹿出现于","0","43","43"
"皇上诏令","0","43","43"
"以下囚犯","0","43","43"
"使金国祝","0","43","43"
"金国祝贺","0","43","43"
"占据此星","0","43","43"
"十二月丁","38","4","42"
"国遣使献","42","0","42"
"镇西将军","20","22","42"
"五年三月","21","21","42"
"五年十一","21","21","42"
"年正月丙","22","20","42"
"四年十月","21","21","42"
"兼知枢密","21","21","42"
"章事兼枢","21","21","42"
"南安抚使","19","23","42"
"太子宾客","21","21","42"
"春正月甲","40","2","42"
"中军统制","21","21","42"
"将作监丞","21","21","42"
"治理国家","0","42","42"
"自古以来","0","42","42"
"金星白天","0","42","42"
"任参知政","0","42","42"
"夏四月十","0","42","42"
"白鹿出现","0","42","42"
"请求朝廷","0","42","42"
"斩首示众","0","42","42"
"二月初四","0","42","42"
"终年五十","0","42","42"
"关押囚犯","0","42","42"
"宗即皇帝","0","42","42"
"阳王休范","24","17","41"
"三百六十","20","21","41"
"二年九月","21","20","41"
"永初三年","21","20","41"
"元嘉八年","20","21","41"
"安帝隆安","22","19","41"
"年五月癸","21","20","41"
"殿前都指","20","21","41"
"前都指挥","20","21","41"
"西宣抚使","20","21","41"
"四川安抚","22","19","41"
"院事兼参","21","20","41"
"事兼参知","21","20","41"
"总领财赋","20","21","41"
"为右丞相","32","9","41"
"建安抚使","20","21","41"
"欧阳守道","1","40","41"
"绍兴元年","20","21","41"
"离开朝廷","0","41","41"
"请求解除","0","41","41"
"兼代理参","0","41","41"
"君主有忧","0","41","41"
"于是命令","0","41","41"
"令有关部","0","41","41"
"桂阳王休","23","17","40"
"秋七月壬","40","0","40"
"十二月癸","36","4","40"
"三年十二","20","20","40"
"四年十一","20","20","40"
"高贵乡公","19","21","40"
"穆帝永和","21","19","40"
"安军节度","20","20","40"
"为户部侍","14","26","40"
"卫马军都","20","20","40"
"左仆射兼","20","20","40"
"监修国史","20","20","40"
"奉国军节","20","20","40"
"福州观察","20","20","40"
"湖北安抚","18","22","40"
"海制置使","20","20","40"
"知审官院","20","20","40"
"路转运判","19","21","40"
"宁远将军","19","21","40"
"刺史武陵","21","19","40"
"天下太平","7","33","40"
"避殿减膳","26","14","40"
"京湖制置","20","20","40"
"逆向运行","0","40","40"
"老百姓的","0","40","40"
"岁星侵犯","0","40","40"
"高兴地说","0","40","40"
"文武官员","0","40","40"
"国派使者","0","40","40"
"被提升为","0","40","40"
"等出使金","0","40","40"
"变星侵犯","0","40","40"
"终年七十","0","40","40"
"永初元年","20","19","39"
"为交州刺","20","19","39"
"镇北将军","19","20","39"
"晋安帝隆","20","19","39"
"州司户参","20","19","39"
"礼部贡举","19","20","39"
"川安抚制","21","18","39"
"淮东制置","20","19","39"
"诸军都统","24","15","39"
"孝宗即位","16","23","39"
"宗正少卿","19","20","39"
"四厢都指","20","19","39"
"集贤殿修","19","20","39"
"贤殿修撰","19","20","39"
"工部郎中","19","20","39"
"冬十月甲","38","1","39"
"春正月癸","39","0","39"
"史武陵王","21","18","39"
"十一月二","6","33","39"
"月二十五","5","34","39"
"钱二十万","22","17","39"
"钱三十万","22","17","39"
"兵部郎中","20","19","39"
"靖康元年","19","20","39"
"敷文阁待","20","19","39"
"登进士第","29","10","39"
"陛下即位","16","23","39"
"有这样的","0","39","39"
"为自己的","0","39","39"
"发生饥荒","0","39","39"
"祭祀太庙","0","39","39"
"渡过黄河","0","39","39"
"为领军将","18","20","38"
"南蛮校尉","18","20","38"
"录尚书事","16","22","38"
"夏四月癸","37","1","38"
"巴陵王休","21","17","38"
"陵王休若","21","17","38"
"州刺史张","19","19","38"
"元嘉三年","19","19","38"
"五年二月","18","20","38"
"四月二十","4","34","38"
"八年正月","17","21","38"
"记室参军","19","19","38"
"郡诸军事","21","17","38"
"都巡检使","19","19","38"
"一千五百","9","29","38"
"为益州刺","21","17","38"
"死罪以下","19","19","38"
"七年春正","20","18","38"
"十月二十","1","37","38"
"以为不可","36","2","38"
"陕西转运","18","20","38"
"贺天申节","19","19","38"
"犯太微垣","5","33","38"
"国家大事","1","37","38"
"的人很多","0","38","38"
"了他的意","0","38","38"
"处以死刑","0","38","38"
"了他们的","0","38","38"
"渡过长江","0","38","38"
"他的母亲","0","38","38"
"代的旧县","0","38","38"
"出使金朝","0","38","38"
"朝见高宗","0","38","38"
"的分野地","0","38","38"
"司马光说","0","38","38"
"振武将军","18","19","37"
"冬十一月","18","19","37"
"为南豫州","21","16","37"
"八年五月","18","19","37"
"犯左执法","18","19","37"
"元兴三年","19","18","37"
"州刺史始","20","17","37"
"太康三年","19","18","37"
"安抚副使","19","18","37"
"安北将军","18","19","37"
"右光禄大","18","19","37"
"立皇太子","14","23","37"
"太子太保","19","18","37"
"祀天地于","37","0","37"
"天地于圜","37","0","37"
"地于圜丘","37","0","37"
"西转运使","16","21","37"
"高宗即位","23","14","37"
"月二十日","1","36","37"
"如果不是","0","37","37"
"回到朝廷","0","37","37"
"自己的意","0","37","37"
"过了一年","0","37","37"
"圆丘祭祀","0","37","37"
"汉代的旧","0","37","37"
"于是任命","0","37","37"
"客星进入","0","37","37"
"厌恶这种","0","37","37"
"恶这种情","0","37","37"
"为徐州刺","19","17","36"
"征西大将","18","18","36"
"景初元年","20","16","36"
"武帝永初","18","18","36"
"孝建二年","18","18","36"
"四年六月","18","18","36"
"南平王铄","28","8","36"
"帝太康二","19","17","36"
"明帝太宁","18","18","36"
"侍卫步军","18","18","36"
"静军节度","18","18","36"
"秋七月辛","36","0","36"
"机宜文字","18","18","36"
"东宣抚使","18","18","36"
"开元游仪","21","15","36"
"度支判官","18","18","36"
"进士甲科","16","20","36"
"同修国史","20","16","36"
"太中大夫","18","18","36"
"七年正月","17","19","36"
"殿中将军","18","18","36"
"秋七月戊","36","0","36"
"尚书吏部","18","18","36"
"月二十三","1","35","36"
"内殿崇班","18","18","36"
"路提点刑","18","18","36"
"河北转运","18","18","36"
"合祭天地","11","25","36"
"这样的人","0","36","36"
"国家的大","0","36","36"
"为什么不","0","36","36"
"始兴王刘","0","36","36"
"任翰林学","0","36","36"
"雀出现于","0","36","36"
"国来进贡","0","36","36"
"溢出河道","0","36","36"
"一月初三","0","36","36"
"祝贺正旦","0","36","36"
"宁州刺史","18","17","35"
"泰始三年","16","19","35"
"晋穆帝永","18","17","35"
"愍帝建兴","18","17","35"
"泰始四年","16","19","35"
"孝武大明","27","8","35"
"军都虞候","17","18","35"
"仆射兼门","18","17","35"
"射兼门下","18","17","35"
"司参议官","17","18","35"
"西京留守","18","17","35"
"同修起居","17","18","35"
"史中丞王","19","16","35"
"左军将军","19","16","35"
"夏四月甲","35","0","35"
"一百八十","13","22","35"
"嘉二十年","17","18","35"
"嘉二十七","15","20","35"
"馆阁校勘","17","18","35"
"金人战于","33","2","35"
"谟阁待制","18","17","35"
"宣抚处置","17","18","35"
"荧惑犯之","35","0","35"
"典章制度","2","33","35"
"除去丧服","0","35","35"
"认为应该","0","35","35"
"事官员上","0","35","35"
"他的请求","0","35","35"
"皇上亲自","0","35","35"
"派遣统制","0","35","35"
"下诏侍从","0","35","35"
"承相兼枢","0","35","35"
"南郊祭祀","0","35","35"
"举行郊祀","0","35","35"
"两个儿子","0","35","35"
"白雀出现","0","35","35"
"人民流亡","0","35","35"
"三月初二","0","35","35"
"四月初三","0","35","35"
"减罪一等","0","35","35"
"攻打边境","0","35","35"
"刺史南谯","19","15","34"
"史南谯王","19","15","34"
