"N-gram","北齐书","北齐书翻译","Total"
"上皇帝诏侍中斛斯文略","1","1","2"
"武明娄皇后生文襄皇帝","1","1","2"
"文敬元皇后生河间王孝","1","1","2"
"敬元皇后生河间王孝琬","1","1","2"
"后主令开府段畅率三千","1","1","2"
"主令开府段畅率三千骑","1","1","2"
"周冢宰宇文护母阎氏先","1","1","2"
"冢宰宇文护母阎氏先配","1","1","2"
"宰宇文护母阎氏先配中","1","1","2"
"宇文护母阎氏先配中山","1","1","2"
"瀛青齐沧幽肆晋汾十二","1","1","2"
"青齐沧幽肆晋汾十二州","1","1","2"
"齐沧幽肆晋汾十二州诸","1","1","2"
"沧幽肆晋汾十二州诸军","1","1","2"
"幽肆晋汾十二州诸军事","1","1","2"
"洛州行台仆射独孤永业","1","1","2"
"冀相殷定沧瀛幽安八州","1","1","2"
"相殷定沧瀛幽安八州行","1","1","2"
"殷定沧瀛幽安八州行台","1","1","2"
"定沧瀛幽安八州行台仆","1","1","2"
"沧瀛幽安八州行台仆射","1","1","2"
"颍州长史贺若徽执刺史","2","0","2"
"州长史贺若徽执刺史田","2","0","2"
"长史贺若徽执刺史田迅","2","0","2"
"保洛随例封昌平县薄家","1","1","2"
"洛随例封昌平县薄家城","1","1","2"
"随例封昌平县薄家城乡","1","1","2"
"例封昌平县薄家城乡男","1","1","2"
"封昌平县薄家城乡男一","1","1","2"
"昌平县薄家城乡男一百","1","1","2"
"平县薄家城乡男一百户","1","1","2"
"仪同贾显智率豫州刺史","1","1","2"
"同贾显智率豫州刺史斛","1","1","2"
"显智率豫州刺史斛斯寿","1","1","2"
"二人劝后主作承光主诏","1","1","2"
"赵继宗杀颍川太守邵招","1","1","2"
"随叔父魏广平内史老生","1","1","2"
"叔父魏广平内史老生征","1","1","2"
"西魏北华州刺史薛崇礼","1","1","2"
"魏北华州刺史薛崇礼屯","1","1","2"
"军功除扬武军帐内统军","1","1","2"
"北受幽州刺史刘灵助节","1","1","2"
"受幽州刺史刘灵助节度","1","1","2"
"都督冀定沧瀛幽齐徐青","1","1","2"
"督冀定沧瀛幽齐徐青光","1","1","2"
"冀定沧瀛幽齐徐青光兖","1","1","2"
"定沧瀛幽齐徐青光兖十","1","1","2"
"沧瀛幽齐徐青光兖十州","1","1","2"
"瀛幽齐徐青光兖十州军","1","1","2"
"幽齐徐青光兖十州军事","1","1","2"
"高祖遥授长命雍州刺史","1","1","2"
"集诸州郡督将僚吏等议","1","1","2"
"第二子廷尉监台卿断狱","1","1","2"
"时楚州人东方白额谋反","1","1","2"
"中军大都督韩轨府长史","1","1","2"
"魏东平王元匡妾张氏淫","1","1","2"
"东平王元匡妾张氏淫逸","1","1","2"
"平王元匡妾张氏淫逸放","1","1","2"
"故吏梁骠骑府仓曹参军","1","1","2"
"吏梁骠骑府仓曹参军朱","1","1","2"
"开府仪同主簿刘韶慧等","1","1","2"
"兖州刺史南康嗣王会理","1","1","2"
"州刺史南康嗣王会理总","1","1","2"
"尚书左仆射平秦王归彦","1","1","2"
"黄门侍郎郑子默受遗诏","1","1","2"
"门侍郎郑子默受遗诏辅","1","1","2"
"侍郎郑子默受遗诏辅政","1","1","2"
"安德王延宗纳赵郡李祖","1","1","2"
"德王延宗纳赵郡李祖收","1","1","2"
"补季舒大行台都官郎中","1","1","2"
"黄门郎高德正副留台事","1","1","2"
"淮南王开府中兵参军事","1","1","2"
"朱荣大将军府长流参军","1","1","2"
"司徒录事参军卢思道私","1","1","2"
"前通直散骑侍郎辛德源","1","1","2"
"尚孝静帝妹冯翊长公主","1","1","2"
"通直散骑侍郎彭贵平谋","1","1","2"
"太上皇帝诏改太祖献武","1","1","2"
"上皇帝诏改太祖献武皇","1","1","2"
"皇帝诏改太祖献武皇帝","1","1","2"
"复改威宗景烈皇帝谥号","1","1","2"
"开府仪同三司贺拔伏恩","1","1","2"
"慕容钟葵等宿卫近臣三","1","1","2"
"容钟葵等宿卫近臣三十","1","1","2"
"都督冀定沧瀛赵幽济七","1","1","2"
"督冀定沧瀛赵幽济七州","1","1","2"
"冀定沧瀛赵幽济七州诸","1","1","2"
"定沧瀛赵幽济七州诸军","1","1","2"
"沧齐兖梁洛晋建十二州","1","1","2"
"齐兖梁洛晋建十二州诸","1","1","2"
"兖梁洛晋建十二州诸军","1","1","2"
"梁洛晋建十二州诸军事","1","1","2"
"开府司水大夫梁景兴等","1","1","2"
"都督冀定等五州诸军事","1","1","2"
"都督冀定瀛沧怀五州诸","1","1","2"
"督冀定瀛沧怀五州诸军","1","1","2"
"冀定瀛沧怀五州诸军事","1","1","2"
"都督冀定瀛幽安五州诸","1","1","2"
"督冀定瀛幽安五州诸军","1","1","2"
"冀定瀛幽安五州诸军事","1","1","2"
"都督朔瀛赵幽安五州诸","1","1","2"
"督朔瀛赵幽安五州诸军","1","1","2"
"朔瀛赵幽安五州诸军事","1","1","2"
"冀定瀛相殷幽六州诸军","1","1","2"
"定瀛相殷幽六州诸军事","1","1","2"
"都督冀殷瀛三州诸军事","1","1","2"
"督定冀殷幽四州诸军事","1","1","2"
"赵国李氏口诵陈思王诗","1","1","2"
"前开府水曹参军周子深","1","1","2"
"开府水曹参军周子深等","1","1","2"
"府水曹参军周子深等十","1","1","2"
"水曹参军周子深等十一","1","1","2"
"曹参军周子深等十一人","1","1","2"
"除本州平北府长流参军","1","1","2"
"实际上是由于他的疾病","0","2","2"
"冀州的渤海长乐安德武","0","2","2"
"州的渤海长乐安德武邑","0","2","2"
"派遣兼太尉彭城王元韶","0","2","2"
"茹茹国派遣使者朝见进","0","2","2"
"茹国派遣使者朝见进贡","0","2","2"
"梁国湘束王萧绎派遣使","0","2","2"
"国湘束王萧绎派遣使者","0","2","2"
"湘束王萧绎派遣使者朝","0","2","2"
"束王萧绎派遣使者朝见","0","2","2"
"王萧绎派遣使者朝见进","0","2","2"
"国都派遣使者朝见进贡","0","2","2"
"契丹派遣使者朝见进贡","0","2","2"
"室韦国派遣使者朝见进","0","2","2"
"韦国派遣使者朝见进贡","0","2","2"
"突厥派遣使者朝见进贡","0","2","2"
"下诏书命令常山王高演","0","2","2"
"的第二个儿子高孝珩为","0","2","2"
"第二个儿子高孝珩为广","0","2","2"
"二个儿子高孝珩为广宁","0","2","2"
"个儿子高孝珩为广宁王","0","2","2"
"良好的社会风尚井然有","0","2","2"
"好的社会风尚井然有序","0","2","2"
"他后来放纵饮酒肆意纵","0","2","2"
"后来放纵饮酒肆意纵欲","0","2","2"
"朝廷内外百官普遍加级","0","2","2"
"用刀头上的环乱打一气","0","2","2"
"其中的缘故是什么呢?","0","2","2"
"王高孝琬为尚书左仆射","0","2","2"
"尚书右仆射赵彦深为左","0","2","2"
"书右仆射赵彦深为左仆","0","2","2"
"右仆射赵彦深为左仆射","0","2","2"
"以百济王余昌为使持节","0","2","2"
"降免死罪以下犯人徒刑","0","2","2"
"随高祖击破四胡于韩陵","0","2","2"
"从高祖在邙山打败了周","0","2","2"
"高祖在邙山打败了周文","0","2","2"
"祖在邙山打败了周文帝","0","2","2"
"几次升任为尚书左仆射","0","2","2"
"太祖献武皇帝为神武皇","0","2","2"
"祖献武皇帝为神武皇帝","0","2","2"
"任命卢潜为扬州道行台","0","2","2"
"散骑常侍兼中书侍郎李","0","2","2"
